Time.y;nonCondensing.T_Out;nonCondensing.T_Inlet;nonCondensing.Qdot_Environment;nonCondensing.Qdot_in;nonCondensing.Qdot_Delivered;nonCondensing.mdot_water;nonCondensing.T_amb;nonCondensing.ControlConstant
208.53;20.7954;12.7465;-79.4785;0;968.191;0.0287083;25.499;0
209.954;20.8005;12.7602;-80.4131;0;1173.56;0.0348356;25.4896;0
209.954;20.8005;12.7602;-80.4131;0;1173.56;0.0348356;25.4896;0
211.491;20.8058;12.7654;-81.7315;0;1448.65;0.043;25.4819;0
211.491;20.8058;12.7654;-81.7315;0;1448.65;0.043;25.4819;0
211.509;20.8059;12.7654;-81.7485;0;1451.82;0.043094;25.4819;0
214.488;20.816;12.77;-85.6884;0;2043.7;0.0606214;25.4991;0
217.467;20.8244;12.8176;-90.9961;0;2727.16;0.0812905;25.5121;0
220.446;20.8241;13.4811;-97.2648;0;3233.68;0.105102;25.4893;0
223.425;20.7857;13.7874;-104.796;0;3872.26;0.132055;25.4904;0
226.404;20.6146;13.1235;-114.542;0;5089.52;0.16215;25.4923;0
229.383;20.1049;12.3543;-127.146;0;6241.46;0.192195;25.4975;0
232.362;19.052;11.8418;-141.61;0;6619.1;0.219097;25.5051;0
235.341;17.5285;11.6461;-155.523;0;5986.19;0.242876;25.4999;0
238.32;15.9084;11.6144;-167.145;0;4740.91;0.263507;25.4906;0
241.299;14.509;11.5874;-175.441;0;3439.46;0.280965;25.4584;0
243.273;13.7517;11.54;-179.588;0;2696.86;0.291016;25.4479;0
244.278;13.4191;11.54;-181.624;0;2324.93;0.295285;25.468;0
247.257;12.6425;11.5354;-185.797;0;1421.7;0.306475;25.5;0
250.236;12.1589;11.5255;-187.697;0;834.694;0.314524;25.4887;0
253.215;11.8978;11.5244;-188.794;0;499.73;0.319431;25.4928;0
256.194;11.77;11.5475;-189.797;0;299.447;0.321196;25.5325;0
259.173;11.711;11.5485;-190.011;0;218.734;0.321193;25.5399;0
262.152;11.6852;11.5073;-189.536;0;239.438;0.321189;25.4988;0
265.131;11.6779;11.4316;-189.21;0;331.389;0.321186;25.4617;0
268.11;11.678;11.2926;-189.441;0;518.657;0.321183;25.4398;0
271.089;11.6705;11.1375;-190.244;0;717.297;0.321179;25.429;0
274.068;11.64;10.9944;-192.036;0;868.863;0.321175;25.4588;0
277.047;11.5754;10.905;-194.12;0;902.161;0.321171;25.4969;0
280.026;11.4752;10.85;-195.669;0;841.269;0.321166;25.4962;0
283.005;11.3522;10.85;-196.697;0;675.778;0.321159;25.4788;0
285.984;11.2295;10.8537;-197.149;0;505.77;0.32115;25.4471;0
288.963;11.128;10.8492;-197.371;0;375.203;0.32114;25.425;0
291.942;11.0597;10.8371;-197.738;0;299.528;0.321129;25.4285;0
294.921;11.0233;10.8292;-198.192;0;261.291;0.321118;25.4506;0
297.9;11.0069;10.7661;-198.818;0;323.953;0.321106;25.4817;0
300.879;10.9977;10.71;-199.362;0;387.104;0.321095;25.495;0
