#1

double tab1(1661,12)
0	60.15	56.77	45.62	45.33	51.5	55.72	51.02	24	27.44791666	0.019762155	0
2.87	60	56.86	45.67	45.34	51.55	55.77	51.03	24.05	16.46874999	0.019762155	0
5.87	60.19	56.88	45.65	45.41	51.54	55.8	51.06	24.02	16.46874999	0.019762155	0
8.995	60.19	56.96	45.65	45.45	51.62	55.84	51.1	24.02	16.46874999	0.019762155	0
11.87	60.16	56.97	45.66	45.5	51.66	55.84	51.14	23.98	27.44791666	0.019762155	0
14.87	60.29	57.06	45.83	45.55	51.71	55.93	51.23	24.03	16.46874999	0.019762155	0
18	60.32	57.03	45.8	45.52	51.69	55.95	51.24	24.005	16.46874999	0.019762155	0
21	60.16	57.14	45.83	45.63	51.71	55.97	51.27	24.07	16.46874999	0.019762155	0
23.87	60.21	57.15	45.88	45.68	51.72	56.07	51.28	24.04	16.46874999	0.019762155	0
26.87	60.28	57.18	45.87	45.67	51.79	56.09	51.31	24.05	27.44791666	0.019762155	0
30	60.32	57.16	45.89	45.65	51.77	56.07	51.29	24.05	16.46874999	0.019762155	0
32.87	60.32	57.31	46	45.8	51.89	56.15	51.36	24.185	16.46874999	0.019814899	0
35.87	60.33	57.29	46.02	45.82	51.9	56.16	51.42	24.16	27.44791666	0.019898764	0
39	60.32	57.34	46.07	45.83	51.95	56.25	51.47	24.17	16.46874999	0.020001631	0
41.87	60.33	57.33	46.06	45.82	52.02	56.24	51.54	24.18	16.46874999	0.020112032	0
44.87	60.33	57.38	46.15	45.95	52.07	56.29	51.55	24.19	27.44791666	0.020230132	0
48	60.33	57.42	46.15	45.95	52.11	56.33	51.59	24.17	16.46874999	0.020356585	0
50.87	60.35	57.43	46.13	46.01	52.17	56.39	51.65	24.11	27.44791666	0.020443891	0
53.87	60.32	57.46	46.15	45.99	52.2	56.42	51.68	24.075	16.46874999	0.020493194	0
57	60.3	57.47	46.17	46.09	52.29	56.43	51.73	24.07	16.46874999	0.020504169	0
60	60.33	57.54	46.31	46.15	52.36	56.5	51.79	24.09	27.44791666	0.020469935	0
62.87	60.47	57.57	46.3	46.18	52.34	56.52	51.82	24.04	16.46874999	0.020401303	0
65.995	60.49	57.54	46.32	46.19	52.32	56.54	51.84	24.01	27.44791666	0.020298436	0
68.995	60.47	57.61	46.42	46.3	52.42	56.6	51.86	24.04	16.46874999	0.020184595	0
71.87	60.4	57.59	46.45	46.29	52.41	56.63	51.85	24.005	27.44791666	0.020082875	0
74.87	60.35	57.63	46.53	46.33	52.49	56.67	51.93	24.02	16.46874999	0.019992785	0
78	60.33	57.63	46.49	46.29	52.45	56.71	51.89	23.98	16.46874999	0.01991367	0
80.87	60.47	57.68	46.58	46.38	52.54	56.8	52.06	24.055	27.44791666	0.019869935	0
83.87	60.47	57.63	46.57	46.37	52.49	56.75	52.01	24.005	27.44791666	0.019857487	0
