0,0,0,-72,0,0
0,0,0,-72,0,0
0,0,0,-72,0,0
1.2,0.0103323,0,-71.9618,88.7763,0.0106192
2.4,0.0206592,0,-71.9236,177.505,0.0212327
3.6,0.0309808,0,-71.8854,266.187,0.0318406
4.8,0.041297,0,-71.8472,354.822,0.0424428
6,0.051608,0,-71.8091,443.409,0.0530394
7.2,0.0619136,0,-71.7709,531.949,0.0636303
8.4,0.0722139,0,-71.7328,620.442,0.0742156
9.6,0.0825088,0,-71.6947,708.888,0.0847952
10.8,0.0927985,0,-71.6567,797.287,0.0953692
12,0.103083,0,-71.6186,885.639,0.105938
13.2,0.113362,0,-71.5806,973.944,0.1165
14.4,0.123636,0,-71.5426,1062.2,0.127058
15.6,0.133904,0,-71.5046,1150.41,0.137609
16.8,0.144167,0,-71.4666,1238.58,0.148155
18,0.154425,0,-71.4287,1326.69,0.158695
19.2,0.164678,0,-71.3908,1414.76,0.16923
20.4,0.174925,0,-71.3529,1502.79,0.179759
21.6,0.185167,0,-71.315,1590.76,0.190283
22.8,0.195404,0,-71.2771,1678.69,0.200801
24,0.205635,0,-71.2393,1766.58,0.211313
25.2,0.215861,0,-71.2014,1854.41,0.22182
26.4,0.226082,0,-71.1636,1942.2,0.232321
27.6,0.236298,0,-71.1259,2029.95,0.242817
28.8,0.246508,0,-71.0881,2117.64,0.253307
30,0.256713,0,-71.0504,2205.29,0.263791
31.2,0.266913,0,-71.0126,2292.89,0.27427
32.4,0.277108,0,-70.9749,2380.45,0.284743
33.6,0.287297,0,-70.9372,2467.96,0.295211
34.8,0.297481,0,-70.8996,2555.42,0.305673
36,0.30766,0,-70.8619,2642.84,0.316129
37.2,0.317833,0,-70.8243,2730.21,0.32658
38.4,0.328001,0,-70.7867,2817.53,0.337025
39.6,0.338164,0,-70.7491,2904.81,0.347465
40.8,0.348323,0,-70.7116,2992.04,0.3579
42,0.358475,0,-70.674,3079.23,0.368329
43.2,0.368623,0,-70.6365,3166.37,0.378752
44.4,0.378766,0,-70.599,3253.47,0.389171
45.6,0.388903,0,-70.5615,3340.51,0.399583
46.8,0.399035,0,-70.524,3427.52,0.40999
48,0.409162,0,-70.4866,3514.47,0.420392
49.2,0.419284,0,-70.4492,3601.38,0.430788
50.4,0.4294,0,-70.4118,3688.25,0.441178
51.6,0.439511,0,-70.3744,3775.07,0.451563
52.8,0.449617,0,-70.337,3861.84,0.461942
54,0.459718,0,-70.2997,3948.56,0.472316
55.2,0.469813,0,-70.2623,4035.24,0.482685
56.4,0.479904,0,-70.225,4121.88,0.493048
57.6,0.489989,0,-70.1877,4208.46,0.503405
58.8,0.500069,0,-70.1505,4295.01,0.513757
60,0.510143,0,-70.1132,4381.5,0.524103
61.2,0.520213,0,-70.076,4467.95,0.534444
62.4,0.530277,0,-70.0388,4554.35,0.544779
63.6,0.540336,0,-70.0016,4640.71,0.555109
64.8,0.55039,0,-69.9644,4727.02,0.565433
66,0.560439,0,-69.9273,4813.28,0.575751
67.2,0.570482,0,-69.8902,4899.5,0.586064
68.4,0.58052,0,-69.8531,4985.67,0.596372
69.6,0.590553,0,-69.816,5071.79,0.606674
70.8,0.600581,0,-69.7789,5157.87,0.616971
72,0.610603,0,-69.7419,5243.91,0.627262
73.2,0.620621,0,-69.7048,5329.89,0.637547
74.4,0.630633,0,-69.6678,5415.83,0.647827
75.6,0.64064,0,-69.6308,5501.73,0.658101
76.8,0.650641,0,-69.5939,5587.58,0.66837
78,0.660638,0,-69.5569,5673.38,0.678634
79.2,0.670629,0,-69.52,5759.14,0.688892
80.4,0.680616,0,-69.4831,5844.86,0.699145
81.6,0.690598,0,-69.4462,5930.53,0.709393
82.8,0.700575,0,-69.4093,6016.16,0.719636
84,0.710547,0,-69.3725,6101.74,0.729873
85.2,0.720513,0,-69.3356,6187.27,0.740105
86.4,0.730474,0,-69.2988,6272.77,0.750331
87.6,0.74043,0,-69.262,6358.21,0.760551
88.8,0.750381,0,-69.2252,6443.61,0.770767
90,0.760327,0,-69.1885,6528.96,0.780976
91.2,0.770268,0,-69.1517,6614.27,0.791181
92.4,0.780203,0,-69.115,6699.53,0.80138
93.6,0.790133,0,-69.0783,6784.75,0.811573
94.8,0.800059,0,-69.0417,6869.92,0.821761
96,0.809979,0,-69.005,6955.05,0.831943
97.2,0.819893,0,-68.9684,7040.13,0.84212
98.4,0.829803,0,-68.9317,7125.16,0.852292
99.6,0.839708,0,-68.8952,7210.15,0.862458
100.8,0.849607,0,-68.8586,7295.09,0.872619
102,0.859501,0,-68.822,7379.99,0.882774
103.2,0.86939,0,-68.7855,7464.84,0.892924
104.4,0.879274,0,-68.749,7549.65,0.903068
105.6,0.889153,0,-68.7125,7634.41,0.913207
106.8,0.899026,0,-68.676,7719.12,0.92334
108,0.908895,0,-68.6395,7803.79,0.933468
109.2,0.918758,0,-68.6031,7888.41,0.94359
110.4,0.928616,0,-68.5667,7972.99,0.953707
111.6,0.938469,0,-68.5303,8057.52,0.963819
112.8,0.948317,0,-68.4939,8142.01,0.973925
114,0.95816,0,-68.4575,8226.45,0.984025
115.2,0.967997,0,-68.4212,8310.84,0.99412
116.4,0.977829,0,-68.3848,8395.19,1.00421
117.6,0.987657,0,-68.3485,8479.5,1.01429
118.8,0.99748,0,-68.3123,8563.76,1.02437
120,1.0073,0,-68.276,8647.99,1.03445
121.2,1.01711,0,-68.2397,8732.17,1.04452
122.4,1.02692,0,-68.2035,8816.31,1.05458
123.6,1.03672,0,-68.1673,8900.4,1.06464
124.8,1.04652,0,-68.1311,8984.44,1.07469
