Time.y;nonCondensing.T_Out;nonCondensing.T_Inlet;nonCondensing.Qdot_Environment;nonCondensing.Qdot_in;nonCondensing.Qdot_Delivered;nonCondensing.mdot_water;nonCondensing.T_amb;nonCondensing.ControlConstant
0;12;11.97;-51.205;0;0;0;25.475;0
13.3;12.0519;12.0184;-51.001;0;0;0;25.4732;0
26.6;12.1034;12.169;-50.7723;0;0;0;25.4645;0
39.9;12.1546;12.13;-50.4607;0;0.346565;0.00336345;25.434;0
53.2;12.2056;12.1582;-50.2897;0;0.663709;0.00334072;25.4395;0
66.5;12.2563;12.34;-50.1239;0;-1.13784;0.0032456;25.4467;0
79.8;12.3068;12.3433;-49.8596;0;-0.472713;0.00309079;25.4282;0
93.1;12.3571;12.3389;-49.6358;0;0.228515;0.00299772;25.4195;0
106.4;12.4072;12.3818;-49.515;0;0.317705;0.0029776;25.4376;0
119.7;12.4573;12.4807;-49.3508;0;-0.291436;0.00297072;25.445;0
133;12.5071;12.5275;-49.1416;0;-0.252541;0.00295468;25.44;0
146.3;12.5568;12.554;-49.2436;0;0.0336407;0.00288496;25.5163;0
159.6;12.6065;12.6027;-49.1362;0;0.0445891;0.00274586;25.5372;0
172.9;12.6561;12.653;-48.9767;0;0.0349291;0.00262778;25.5446;0
186.2;12.7055;12.6989;-48.7511;0;0.0711611;0.00258487;25.5344;0
199.5;12.7547;12.69;-48.6134;0;1.16743;0.00430518;25.5469;0
209.954;12.7932;12.7602;-48.2628;0;4.81195;0.0348356;25.4896;0
209.954;12.7932;12.7602;-48.2628;0;4.81195;0.0348356;25.4896;0
211.698;12.7996;12.7661;-48.2081;0;6.20015;0.0441;25.4809;0
211.698;12.7996;12.7661;-48.2081;0;6.20015;0.0441;25.4809;0
212.8;12.8037;12.7697;-48.1739;0;7.09956;0.0499511;25.4754;0
226.1;12.8505;13.2065;-47.2549;0;-237.092;0.158924;25.4948;0
239.4;12.9189;11.6252;-50.6711;0;1465.62;0.270391;25.4797;0
243.273;12.2897;11.54;-51.8454;0;914.209;0.291016;25.4479;0
252.7;11.6219;11.5227;-52.9007;0;132.507;0.318885;25.4859;0
266;11.5794;11.3911;-52.9146;0;253.504;0.321185;25.4559;0
279.3;11.2533;10.85;-54.9131;0;542.737;0.321167;25.4986;0
292.6;10.8983;10.8415;-55.3269;0;76.4239;0.321127;25.4307;0
305.9;10.8337;10.6899;-55.6795;0;193.421;0.32108;25.4057;0
319.2;10.6744;10.5044;-56.7825;0;228.657;0.321064;25.5188;0
332.5;10.4522;10.34;-57.7047;0;150.889;0.321069;25.5656;0
345.8;10.3052;10.18;-58.1786;0;168.46;0.321062;25.5446;0
359.1;10.2186;10.1826;-58.2015;0;48.4615;0.321054;25.5215;0
372.4;10.2241;10.1917;-58.1739;0;43.4949;0.321052;25.515;0
385.7;10.2041;10.0279;-58.5639;0;237.08;0.321052;25.5241;0
399;10.0355;9.8404;-58.8103;0;262.489;0.321052;25.4064;0
412.3;9.87386;9.68;-59.2126;0;260.786;0.321052;25.3813;0
425.6;9.72214;9.67813;-59.5942;0;59.1991;0.321052;25.3773;0
438.9;9.69719;9.5;-60.2186;0;265.26;0.321052;25.455;0
452.2;9.5496;9.52;-60.5771;0;38.4782;0.310262;25.4748;0
462.454;9.55566;9.48148;-60.6752;0;85.7235;0.275818;25.4895;0
465.5;9.54892;9.52173;-60.5203;0;29.6278;0.260123;25.4512;0
478.8;9.56873;9.5172;-60.4647;0;37.1011;0.171834;25.469;0
492.1;9.6143;18.1529;-58.5932;0;-3638.9;0.101712;25.46;0
497.749;9.63105;34.1681;-47.6652;0;-8785.92;0.0854576;25.4648;0
497.749;9.63105;34.1681;-47.6652;0;-8785.92;0.0854576;25.4648;0
505.4;9.76656;40.9372;-26.5851;0;-9926.82;0.0760065;25.505;0
518.7;12.8392;43.1904;10.911;0;-9214.78;0.0724595;25.4856;0
532;22.8087;43.7397;41.4248;0;-6363.01;0.0725536;25.4581;0
545.3;33.8732;44.0019;59.1748;0;-3107.73;0.0732277;25.4523;0
558.6;40.2587;44.1572;66.7638;0;-1204.07;0.0737115;25.4564;0
571.9;42.7332;44.31;69.7219;0;-486.47;0.0736312;25.4061;0
585.2;43.5603;44.3111;70.5286;0;-230.608;0.0733096;25.4614;0
598.5;43.8749;44.3594;71.0543;0;-148.416;0.0731066;25.4373;0
611.8;44.0113;44.4397;71.0537;0;-131.15;0.0730562;25.5043;0
625.1;44.0775;44.4759;71.3753;0;-121.955;0.0730506;25.4772;0
638.4;44.1294;44.4448;71.4485;0;-96.321;0.0728963;25.497;0
651.7;44.1775;44.4482;71.3186;0;-82.4612;0.0726984;25.5495;0
665;44.2078;44.47;71.4484;0;-79.7579;0.0725937;25.5267;0
678.3;44.2221;44.47;71.3564;0;-75.417;0.0726007;25.5564;0
691.6;44.2277;44.4672;71.3295;0;-72.7311;0.0724841;25.5666;0
704.9;44.2311;44.4799;71.4263;0;-75.3475;0.0722609;25.5449;0
718.2;44.2338;44.4612;71.1907;0;-68.6725;0.0720752;25.6062;0
731.5;44.2352;44.48;71.373;0;-73.988;0.0721275;25.5599;0
744.8;44.2358;44.4747;71.3297;0;-72.3831;0.0723361;25.5711;0
758.1;44.2355;44.4774;71.3731;0;-73.3955;0.0724053;25.555;0
771.4;44.2331;44.3169;71.3364;0;-25.4374;0.0723847;25.545;0
784.7;44.2245;44.3975;71.3095;0;-52.4029;0.0722892;25.5329;0
798;44.2034;44.4972;70.898;0;-88.7419;0.0720991;25.6438;0
811.3;44.1889;44.3153;70.9981;0;-38.0545;0.0718667;25.6066;0
824.6;44.1899;44.3463;70.7974;0;-47.0051;0.0717568;25.6259;0
837.9;44.176;44.3806;70.7219;0;-61.5316;0.0717752;25.6182;0
851.2;44.137;44.3236;71.0251;0;-56.0692;0.0717304;25.525;0
864.5;44.1115;44.3259;70.9952;0;-64.4145;0.0717011;25.524;0
877.8;44.1026;44.3392;70.8393;0;-71.1424;0.0717623;25.5578;0
891.1;44.0971;44.1971;70.8586;0;-30.0517;0.0717661;25.5372;0
904.4;44.0881;44.3101;70.865;0;-66.5498;0.0715195;25.5198;0
917.7;44.0698;44.2918;70.733;0;-66.3945;0.0713652;25.5532;0
931;44.0548;44.15;70.8212;0;-28.5068;0.0714633;25.495;0
944.3;44.0491;44.1439;70.7969;0;-28.4401;0.0716228;25.4629;0
957.6;44.0156;44.15;70.5639;0;-40.612;0.0720945;25.4886;0
970.9;43.9647;44.16;70.4429;0;-57.3642;0.070088;25.5013;0
984.2;43.9301;44.0111;70.4693;0;-20.796;0.061296;25.4616;0
997.5;43.9037;40.2544;69.6924;0;738;0.0482656;25.5481;0
1002.94;43.8904;27.1301;66.6178;0;3096.95;0.0441;25.5089;0
1002.94;43.8904;27.1301;66.6178;0;3096.95;0.0441;25.5089;0
1010.8;43.8661;18.5797;57.5946;0;4220.27;0.0398327;25.5434;0
1019.81;43.8205;15.2767;45.9452;0;4478.1;0.0374428;25.5728;0
1019.81;43.8205;15.2767;45.9452;0;4478.1;0.0374428;25.5728;0
1024.1;43.776;13.8825;40.6041;0;4603.55;0.0367538;25.4787;0
1037.4;43.2982;12.3176;22.5562;0;4563.52;0.0351557;25.5482;0
1050.7;41.6429;12.0617;5.69264;0;4262.27;0.0343884;25.4713;0
1064;38.2121;11.5013;-9.96407;0;3827.11;0.0341957;25.4717;0
