Time, Gas, T_N10
629.87, 27.44791666, 52.93
633, 16.46874999, 52.94
636, 27.44791666, 52.95
639, 16.46874999, 52.9
642, 16.46874999, 52.9
645, 16.46874999, 52.9
648, 27.44791666, 52.86
651, 16.46874999, 52.91
654, 27.44791666, 52.81
657, 27.44791666, 52.8
660, 16.46874999, 52.83
663, 16.46874999, 52.83
665.995, 27.44791666, 52.82
668.995, 16.46874999, 52.84
672, 16.46874999, 52.86
675, 16.46874999, 52.81
678, 27.44791666, 52.79
681, 27.44791666, 52.79
684, 16.46874999, 52.75
687, 16.46874999, 52.75
690, 16.46874999, 52.75
693, 16.46874999, 52.74
696, 27.44791666, 52.73
699, 16.46874999, 52.71
702, 27.44791666, 52.7
705, 16.46874999, 52.75
708, 27.44791666, 52.67
711, 16.46874999, 52.74
714, 16.46874999, 52.69
717, 27.44791666, 52.69
720, 27.44791666, 52.73
723, 16.46874999, 52.71
725.995, 16.46874999, 52.78
728.995, 27.44791666, 52.78
732, 27.44791666, 52.77
735, 16.46874999, 52.73
738, 27.44791666, 52.73
741, 27.44791666, 52.75
744, 27.44791666, 52.71
747, 16.46874999, 52.73
750, 27.44791666, 52.67
753, 16.46874999, 52.74
756, 27.44791666, 52.71
759, 16.46874999, 52.61
762, 16.46874999, 52.7
765, 16.46874999, 52.66
768, 16.46874999, 52.57
771, 16.46874999, 52.59
774, 27.44791666, 52.59
777, 16.46874999, 52.59
780, 27.44791666, 52.59
783, 16.46874999, 52.55
785.995, 27.44791666, 52.57
788.87, 27.44791666, 52.55
791.87, 27.44791666, 52.55
795, 16.46874999, 52.55
798, 16.46874999, 52.59
801, 27.44791666, 52.54
804, 16.46874999, 52.55
807, 16.46874999, 52.55
810, 16.46874999, 52.55
813, 27.44791666, 52.6
816, 27.44791666, 52.56
819, 16.46874999, 52.54
822, 27.44791666, 52.58
825, 27.44791666, 52.56
828, 27.44791666, 52.55
831, 16.46874999, 52.54
834, 16.46874999, 52.54
836.87, 16.46874999, 52.6
840, 16.46874999, 52.46
843, 16.46874999, 52.55
846, 27.44791666, 52.6
848.995, 16.46874999, 52.56
852, 16.46874999, 52.53
855, 27.44791666, 52.58
858, 16.46874999, 52.56
861, 27.44791666, 52.58
864, 16.46874999, 52.63
867, 27.44791666, 52.62
870, 16.46874999, 52.57
873, 16.46874999, 52.58
876, 16.46874999, 52.57
879, 16.46874999, 52.59
882, 27.44791666, 52.61
885, 16.46874999, 52.59
888, 27.44791666, 52.58
891, 16.46874999, 52.62
894, 16.46874999, 52.58
897, 16.46874999, 52.59
900, 27.44791666, 52.59
903, 27.44791666, 52.62
905.995, 27.44791666, 52.56
908.995, 16.46874999, 52.6
912, 27.44791666, 52.56
915, 16.46874999, 52.58
918, 16.46874999, 52.58
921, 16.46874999, 52.6
923.87, 27.44791666, 52.56
927, 27.44791666, 52.58
930, 27.44791666, 52.56
933, 16.46874999, 52.62
936, 16.46874999, 52.62
939, 16.46874999, 52.6
942, 16.46874999, 52.62
945, 16.46874999, 52.64
948, 16.46874999, 52.62
951, 16.46874999, 52.62
954, 16.46874999, 52.62
956.87, 27.44791666, 52.6
960, 16.46874999, 52.6
963, 16.46874999, 52.64
965.995, 27.44791666, 52.62
968.995, 16.46874999, 52.59
972, 16.46874999, 52.58
975, 16.46874999, 52.56
978, 27.44791666, 52.6
981, 16.46874999, 52.62
983.87, 27.44791666, 52.63
987, 16.46874999, 52.64
990, 16.46874999, 52.64
993, 27.44791666, 52.64
996, 27.44791666, 52.62
998.87, 16.46874999, 52.66
1002, 16.46874999, 52.66
1005, 16.46874999, 52.64
1008, 16.46874999, 52.62
1011, 27.44791666, 52.62
1014, 27.44791666, 52.62
1017, 27.44791666, 52.63
1020, 16.46874999, 52.6
1023, 16.46874999, 52.6
1025.995, 16.46874999, 52.64
1028.87, 16.46874999, 52.63
1032, 16.46874999, 52.6
1035, 16.46874999, 52.58
1038, 27.44791666, 52.6
1041, 16.46874999, 52.6
1044, 27.44791666, 52.62
1047, 27.44791666, 52.63
1050, 27.44791666, 52.62
1053, 27.44791666, 52.62
1056, 16.46874999, 52.62
1059, 27.44791666, 52.68
1062, 27.44791666, 52.62
1065, 27.44791666, 52.66
1068, 27.44791666, 52.67
1071, 27.44791666, 52.62
1074, 16.46874999, 52.62
1077, 27.44791666, 52.62
1080, 16.46874999, 52.62
1083, 27.44791666, 52.65
1085.995, 16.46874999, 52.63
1088.995, 16.46874999, 52.62
1092, 16.46874999, 52.63
1095, 16.46874999, 52.67
1098, 16.46874999, 52.63
1101, 16.46874999, 52.63
1104, 27.44791666, 52.62
1107, 16.46874999, 52.67
1110, 27.44791666, 52.67
1113, 16.46874999, 52.66
1116, 16.46874999, 52.7
1119, 16.46874999, 52.74
1122, 27.44791666, 52.7
1125, 16.46874999, 52.7
1128, 16.46874999, 52.76
1131, 16.46874999, 52.74
1134, 16.46874999, 52.8
1137, 27.44791666, 52.8
1140, 16.46874999, 52.76
1142.87, 16.46874999, 52.79
1145.995, 16.46874999, 52.76
1148.995, 16.46874999, 52.84
1152, 16.46874999, 52.81
1155, 16.46874999, 52.8
1158, 16.46874999, 52.79
1161, 16.46874999, 52.8
1164, 27.44791666, 52.82
1167, 16.46874999, 52.8
1170, 16.46874999, 52.81
1173, 16.46874999, 52.84
1176, 27.44791666, 52.79
1179, 16.46874999, 52.8
1182, 27.44791666, 52.79
1185, 27.44791666, 52.76
1187.87, 16.46874999, 52.72
1191, 16.46874999, 52.76
1194, 16.46874999, 52.71
1197, 16.46874999, 52.72
1200, 27.44791666, 52.65
1203, 16.46874999, 52.66
1205.995, 16.46874999, 52.7
1208.995, 16.46874999, 52.65
1212, 16.46874999, 52.69
1215, 27.44791666, 52.68
1218, 16.46874999, 52.69
1221, 16.46874999, 52.73
1224, 27.44791666, 52.75
1227, 16.46874999, 52.67
1230, 16.46874999, 52.68
1233, 16.46874999, 52.67
1236, 16.46874999, 52.69
1239, 27.44791666, 52.71
1242, 16.46874999, 52.68
1245, 16.46874999, 52.69
1248, 16.46874999, 52.63
1251, 16.46874999, 52.74
1254, 16.46874999, 52.72
1257, 16.46874999, 52.68
1260, 27.44791666, 52.71
1263, 16.46874999, 52.78
1265.995, 16.46874999, 52.68
1268.995, 16.46874999, 52.72
1272, 16.46874999, 52.66
1275, 27.44791666, 52.68
1278, 16.46874999, 52.66
1281, 16.46874999, 52.6
1284, 27.44791666, 52.66
1287, 16.46874999, 52.68
1290, 16.46874999, 52.61
1293, 16.46874999, 52.66
1296, 16.46874999, 52.66
1299, 27.44791666, 52.64
1302, 16.46874999, 52.68
1305, 16.46874999, 52.65
1308, 16.46874999, 52.66
1311, 27.44791666, 52.69
1314, 27.44791666, 52.69
1317, 16.46874999, 52.73
1320, 16.46874999, 52.77
1323, 16.46874999, 52.74
1325.995, 16.46874999, 52.78
1328.995, 16.46874999, 52.82
1332, 16.46874999, 52.82
1335, 16.46874999, 52.82
1338, 16.46874999, 52.81
1341, 27.44791666, 52.82
1344, 27.44791666, 52.84
1347, 27.44791666, 52.76
1350, 27.44791666, 52.8
1353, 16.46874999, 52.82
1356, 27.44791666, 52.84
1359, 27.44791666, 52.82
1362, 16.46874999, 52.78
1365, 27.44791666, 52.84
1368, 27.44791666, 52.8
1371, 16.46874999, 52.85
1374, 16.46874999, 52.84
1377, 16.46874999, 52.84
1380, 16.46874999, 52.82
1383, 27.44791666, 52.81
1385.995, 27.44791666, 52.82
1388.995, 16.46874999, 52.82
1392, 27.44791666, 52.81
1395, 16.46874999, 52.89
1398, 16.46874999, 52.8
1401, 27.44791666, 52.8
1404, 27.44791666, 52.86
1407, 16.46874999, 52.84
1410, 16.46874999, 52.88
1413, 16.46874999, 52.89
1416, 16.46874999, 52.84
1419, 27.44791666, 52.85
1422, 16.46874999, 52.84
1425, 16.46874999, 52.85
1428, 16.46874999, 52.89
1431, 27.44791666, 52.88
1434, 27.44791666, 52.81
1437, 16.46874999, 52.85
1440, 27.44791666, 52.85
1443, 16.46874999, 52.81
1445.995, 27.44791666, 52.85
1448.995, 16.46874999, 52.8
1452, 27.44791666, 52.82
1455, 16.46874999, 52.82
1458, 16.46874999, 52.78
1461, 27.44791666, 52.86
1464, 16.46874999, 52.82
1467, 16.46874999, 52.8
1470, 27.44791666, 52.84
1473, 16.46874999, 52.82
1475.87, 16.46874999, 52.81
1479, 27.44791666, 52.85
1482, 27.44791666, 52.86
1485, 16.46874999, 52.9
1488, 16.46874999, 52.89
1491, 16.46874999, 52.84
1494, 16.46874999, 52.86
1497, 16.46874999, 52.85
1500, 16.46874999, 52.8
1503, 16.46874999, 52.89
1505.995, 16.46874999, 52.86
1508.995, 16.46874999, 52.9
1511.87, 16.46874999, 52.9
1515, 27.44791666, 52.85
1518, 16.46874999, 52.86
1521, 16.46874999, 52.85
1524, 27.44791666, 52.86
1527, 16.46874999, 52.81
1530, 16.46874999, 52.84
1533, 27.44791666, 52.85
1536, 16.46874999, 52.85
1539, 16.46874999, 52.84
1542, 16.46874999, 52.81
1545, 16.46874999, 52.82
1548, 27.44791666, 52.84
1551, 27.44791666, 52.86
1554, 27.44791666, 52.87
1556.87, 16.46874999, 52.82
1560, 16.46874999, 52.86
1563, 16.46874999, 52.82
1565.995, 16.46874999, 52.84
1568.995, 27.44791666, 52.81
1572, 27.44791666, 52.87
1575, 27.44791666, 52.82
1578, 16.46874999, 52.85
1581, 27.44791666, 52.73
1584, 16.46874999, 52.72
1587, 16.46874999, 52.74
