Time.y;nonCondensing.T_Out;nonCondensing.T_Inlet;nonCondensing.Qdot_Environment;nonCondensing.Qdot_in;nonCondensing.Qdot_Delivered;nonCondensing.mdot_water;nonCondensing.T_amb;nonCondensing.ControlConstant
0;20;20;0;55555;0;0.244554;20;1
1.2;23.0491;20;40.2163;55555;3124.38;0.244554;20;1
2.4;26.0955;20;77.5769;55555;6245.94;0.244554;20;1
3.6;29.1391;20;112.087;55555;9364.63;0.244554;20;1
4.8;32.1793;20;143.752;55555;12479.9;0.244554;20;1
6;35.2133;20;172.579;55555;15588.8;0.244554;20;1
7.2;37.8231;20;193.027;14344.7;18263;0.244554;20;0.258207
8.4;38.4834;20;185.93;13316.1;18939.6;0.244554;20;0.239692
9.6;39.1147;20;178.689;14348.1;19586.5;0.244554;20;0.258269
10.8;39.7218;20;171.947;16176.1;20208.6;0.244554;20;0.291173
12;40.3042;20;166.343;18833.5;20805.3;0.244554;20;0.339007
13.2;40.862;20;162.484;22190.8;21376.9;0.244554;20;0.399438
14.4;41.3964;20;160.815;25957.1;21924.5;0.244554;20;0.467232
15.6;41.9094;20;161.517;29736.4;22450.1;0.244554;20;0.535261
16.8;42.4035;20;164.459;33120;22956.5;0.244554;20;0.596166
18;42.8814;20;169.231;35780.9;23446.2;0.244554;20;0.644063
19.2;43.3454;20;175.224;37538.9;23921.6;0.244554;20;0.675706
20.4;43.7972;20;181.757;38379.3;24384.6;0.244554;20;0.690835
21.6;44.2379;20;188.195;38431.6;24836.1;0.244554;20;0.691777
22.8;44.6677;20;194.036;37920.3;25276.5;0.244554;20;0.682573
24;45.0866;20;198.968;37108.2;25705.8;0.244554;20;0.667953
25.2;45.4942;20;202.87;36244.7;26123.4;0.244554;20;0.652411
26.4;45.8898;20;205.795;35529.2;26528.8;0.244554;20;0.639532
27.6;46.2732;20;207.92;35090.9;26921.6;0.244554;20;0.631642
28.8;46.6439;20;209.488;34985;27301.5;0.244554;20;0.629736
30;47.002;20;210.762;35201.7;27668.5;0.244554;20;0.633638
31.2;47.3478;20;211.976;35683;28022.7;0.244554;20;0.6423
32.4;47.6815;20;213.307;36342.4;28364.7;0.244554;20;0.654169
33.6;48.0038;20;214.865;37085;28695;0.244554;20;0.667537
34.8;48.3154;20;216.688;37823.8;29014.2;0.244554;20;0.680836
36;48.6168;20;218.757;38490.8;29323.1;0.244554;20;0.692842
37.2;48.9087;20;221.007;39043.2;29622.2;0.244554;20;0.702785
38.4;49.1916;20;223.355;39463.9;29912.1;0.244554;20;0.710358
39.6;49.466;20;225.71;39758.4;30193.2;0.244554;20;0.715659
40.8;49.7321;20;227.993;39948.7;30465.9;0.244554;20;0.719084
42;49.9902;20;230.145;40066.4;30730.4;0.244554;20;0.721202
43.2;50.2405;20;232.131;40145.4;30986.9;0.244554;20;0.722625
44.4;50.4831;20;233.942;40217;31235.5;0.244554;20;0.723914
45.6;50.7182;20;235.589;40305.1;31476.4;0.244554;20;0.725498
46.8;50.9459;20;237.097;40424.6;31709.7;0.244554;20;0.727649
48;51.1664;20;238.501;40581.3;31935.6;0.244554;20;0.73047
49.2;51.3797;20;239.833;40773.1;32154.2;0.244554;20;0.733923
50.4;51.5863;20;241.124;40992.1;32365.8;0.244554;20;0.737865
51.6;51.7861;20;242.398;41227.2;32570.6;0.244554;20;0.742098
52.8;51.9796;20;243.666;41466.6;32768.9;0.244554;20;0.746406
54;52.1669;20;244.935;41699.5;32960.8;0.244554;20;0.750599
55.2;52.3483;20;246.202;41918;33146.7;0.244554;20;0.754531
56.4;52.5239;20;247.459;42117;33326.7;0.244554;20;0.758114
57.6;52.6941;20;248.697;42295.1;33501;0.244554;20;0.761319
58.8;52.8589;20;249.904;42453.4;33669.9;0.244554;20;0.764169
60;53.0187;20;251.072;42595.1;33833.6;0.244554;20;0.766719
61.2;53.1734;20;252.195;42724.4;33992.1;0.244554;20;0.769047
62.4;53.3233;20;253.27;42845.7;34145.7;0.244554;20;0.771231
63.6;53.4685;20;254.296;42963.1;34294.5;0.244554;20;0.773344
64.8;53.6091;20;255.277;43079.6;34438.6;0.244554;20;0.77544
66;53.7453;20;256.217;43196.9;34578.2;0.244554;20;0.777551
67.2;53.8772;20;257.12;43315.7;34713.3;0.244554;20;0.779691
68.4;54.005;20;257.991;43435.9;34844.2;0.244554;20;0.781854
69.6;54.1287;20;258.836;43556.3;34971;0.244554;20;0.784022
70.8;54.2484;20;259.658;43675.7;35093.7;0.244554;20;0.786171
72;54.3644;20;260.458;43792.6;35212.6;0.244554;20;0.788275
73.2;54.4768;20;261.238;43905.8;35327.7;0.244554;20;0.790312
74.4;54.5856;20;261.998;44014.4;35439.2;0.244554;20;0.792266
75.6;54.691;20;262.738;44117.9;35547.2;0.244554;20;0.79413
76.8;54.793;20;263.457;44216.2;35651.7;0.244554;20;0.7959
78;54.8919;20;264.155;44309.7;35753;0.244554;20;0.797583
79.2;54.9876;20;264.83;44398.9;35851.1;0.244554;20;0.799188
80.4;55.0804;20;265.483;44484.3;35946.2;0.244554;20;0.800725
81.6;55.1702;20;266.113;44566.6;36038.2;0.244554;20;0.802206
82.8;55.2572;20;266.722;44646.3;36127.4;0.244554;20;0.803641
84;55.3414;20;267.31;44723.9;36213.7;0.244554;20;0.805038
85.2;55.423;20;267.878;44799.7;36297.3;0.244554;20;0.806402
86.4;55.5021;20;268.427;44873.7;36378.3;0.244554;20;0.807735
87.6;55.5786;20;268.959;44946.1;36456.8;0.244554;20;0.809038
88.8;55.6528;20;269.475;45016.7;36532.7;0.244554;20;0.810308
90;55.7246;20;269.974;45085.4;36606.3;0.244554;20;0.811544
91.2;55.7941;20;270.458;45152;36677.5;0.244554;20;0.812744
92.4;55.8615;20;270.928;45216.5;36746.6;0.244554;20;0.813906
93.6;55.9267;20;271.384;45278.9;36813.4;0.244554;20;0.815028
94.8;55.9899;20;271.826;45339.1;36878.1;0.244554;20;0.816111
96;56.051;20;272.254;45397.1;36940.8;0.244554;20;0.817156
97.2;56.1103;20;272.668;45453.1;37001.6;0.244554;20;0.818164
98.4;56.1677;20;273.07;45507.1;37060.4;0.244554;20;0.819137
99.6;56.2233;20;273.459;45559.4;37117.3;0.244554;20;0.820077
100.8;56.2771;20;273.835;45609.9;37172.5;0.244554;20;0.820987
102;56.3293;20;274.199;45658.9;37225.9;0.244554;20;0.821869
103.2;56.3798;20;274.552;45706.4;37277.7;0.244554;20;0.822724
104.4;56.4287;20;274.893;45752.5;37327.8;0.244554;20;0.823553
105.6;56.4761;20;275.224;45797.2;37376.4;0.244554;20;0.824358
106.8;56.522;20;275.544;45840.6;37423.4;0.244554;20;0.825139
108;56.5664;20;275.854;45882.7;37468.9;0.244554;20;0.825897
109.2;56.6095;20;276.154;45923.5;37513;0.244554;20;0.826631
110.4;56.6512;20;276.445;45963;37555.8;0.244554;20;0.827342
111.6;56.6915;20;276.727;46001.3;37597.1;0.244554;20;0.828031
112.8;56.7307;20;277;46038.3;37637.2;0.244554;20;0.828698
114;56.7685;20;277.265;46074.2;37676;0.244554;20;0.829344
115.2;56.8052;20;277.521;46108.9;37713.6;0.244554;20;0.829968
116.4;56.8408;20;277.769;46142.5;37750;0.244554;20;0.830573
117.6;56.8752;20;278.009;46175;37785.3;0.244554;20;0.831158
118.8;56.9085;20;278.242;46206.5;37819.4;0.244554;20;0.831725
120;56.9408;20;278.468;46236.9;37852.5;0.244554;20;0.832273
121.2;56.9721;20;278.686;46266.5;37884.6;0.244554;20;0.832805
122.4;57.0023;20;278.898;46295.1;37915.6;0.244554;20;0.833319
123.6;57.0317;20;279.102;46322.8;37945.7;0.244554;20;0.833818
124.8;57.0601;20;279.301;46349.6;37974.8;0.244554;20;0.834302
126;57.0876;20;279.493;46375.6;38003;0.244554;20;0.83477
127.2;57.1143;20;279.679;46400.8;38030.3;0.244554;20;0.835224
128.4;57.1401;20;279.859;46425.3;38056.7;0.244554;20;0.835663
129.6;57.1651;20;280.034;46448.9;38082.4;0.244554;20;0.836089
130.8;57.1893;20;280.203;46471.8;38107.2;0.244554;20;0.836501
132;57.2127;20;280.367;46494;38131.2;0.244554;20;0.836901
133.2;57.2355;20;280.525;46515.5;38154.5;0.244554;20;0.837288
134.4;57.2575;20;280.679;46536.3;38177;0.244554;20;0.837662
135.6;57.2788;20;280.828;46556.5;38198.9;0.244554;20;0.838025
136.8;57.2994;20;280.972;46576;38220;0.244554;20;0.838376
138;57.3194;20;281.112;46594.9;38240.5;0.244554;20;0.838716
139.2;57.3388;20;281.247;46613.2;38260.3;0.244554;20;0.839046
140.4;57.3575;20;281.378;46630.9;38279.6;0.244554;20;0.839365
141.6;57.3757;20;281.505;46648.1;38298.2;0.244554;20;0.839674
142.8;57.3933;20;281.628;46664.7;38316.2;0.244554;20;0.839974
144;57.4104;20;281.747;46680.9;38333.7;0.244554;20;0.840264
145.2;57.4269;20;281.862;46696.5;38350.6;0.244554;20;0.840545
146.4;57.4429;20;281.973;46711.6;38367;0.244554;20;0.840817
147.6;57.4583;20;282.082;46726.3;38382.9;0.244554;20;0.841081
148.8;57.4733;20;282.186;46740.4;38398.2;0.244554;20;0.841337
150;57.4879;20;282.288;46754.2;38413.1;0.244554;20;0.841584
151.2;57.502;20;282.386;46767.5;38427.5;0.244554;20;0.841824
152.4;57.5156;20;282.481;46780.4;38441.5;0.244554;20;0.842056
153.6;57.5288;20;282.574;46792.9;38455;0.244554;20;0.842281
154.8;57.5416;20;282.663;46805;38468.1;0.244554;20;0.842498
156;57.554;20;282.749;46816.7;38480.8;0.244554;20;0.842709
157.2;57.566;20;282.833;46828.1;38493.1;0.244554;20;0.842914
158.4;57.5776;20;282.914;46839.1;38505.1;0.244554;20;0.843112
159.6;57.5889;20;282.993;46849.7;38516.6;0.244554;20;0.843304
160.8;57.5998;20;283.069;46860.1;38527.8;0.244554;20;0.843489
162;57.6103;20;283.143;46870;38538.6;0.244554;20;0.843669
163.2;57.6206;20;283.215;46879.7;38549.1;0.244554;20;0.843844
164.4;57.6305;20;283.284;46889.1;38559.2;0.244554;20;0.844012
165.6;57.6401;20;283.351;46898.2;38569.1;0.244554;20;0.844176
166.8;57.6494;20;283.416;46907;38578.6;0.244554;20;0.844335
168;57.6584;20;283.479;46915.5;38587.8;0.244554;20;0.844488
169.2;57.6671;20;283.54;46923.8;38596.8;0.244554;20;0.844637
170.4;57.6756;20;283.599;46931.8;38605.4;0.244554;20;0.844781
171.6;57.6838;20;283.656;46939.6;38613.8;0.244554;20;0.84492
172.8;57.6917;20;283.711;46947.1;38622;0.244554;20;0.845056
174;57.6994;20;283.765;46954.3;38629.8;0.244554;20;0.845187
175.2;57.7068;20;283.817;46961.4;38637.5;0.244554;20;0.845313
176.4;57.714;20;283.867;46968.2;38644.9;0.244554;20;0.845436
177.6;57.721;20;283.916;46974.8;38652;0.244554;20;0.845555
178.8;57.7278;20;283.963;46981.2;38658.9;0.244554;20;0.845671
180;57.7343;20;284.009;46987.4;38665.7;0.244554;20;0.845783
181.2;57.7407;20;284.054;46993.5;38672.2;0.244554;20;0.845891
182.4;57.7468;20;284.097;46999.3;38678.5;0.244554;20;0.845996
183.6;57.7528;20;284.138;47004.9;38684.6;0.244554;20;0.846097
184.8;57.7586;20;284.179;47010.4;38690.5;0.244554;20;0.846196
186;57.7642;20;284.218;47015.7;38696.2;0.244554;20;0.846291
187.2;57.7696;20;284.256;47020.8;38701.8;0.244554;20;0.846384
188.4;57.7748;20;284.292;47025.8;38707.2;0.244554;20;0.846473
189.6;57.7799;20;284.328;47030.6;38712.4;0.244554;20;0.84656
190.8;57.7849;20;284.362;47035.3;38717.4;0.244554;20;0.846644
192;57.7896;20;284.396;47039.8;38722.3;0.244554;20;0.846725
193.2;57.7943;20;284.428;47044.2;38727.1;0.244554;20;0.846804
194.4;57.7987;20;284.459;47048.5;38731.6;0.244554;20;0.846881
195.6;57.8031;20;284.489;47052.6;38736.1;0.244554;20;0.846955
196.8;57.8073;20;284.519;47056.6;38740.4;0.244554;20;0.847027
198;57.8114;20;284.547;47060.4;38744.6;0.244554;20;0.847096
199.2;57.8153;20;284.575;47064.2;38748.6;0.244554;20;0.847164
200.4;57.8191;20;284.602;47067.8;38752.5;0.244554;20;0.847229
201.6;57.8228;20;284.628;47071.3;38756.3;0.244554;20;0.847292
202.8;57.8264;20;284.653;47074.7;38760;0.244554;20;0.847354
204;57.8299;20;284.677;47078;38763.6;0.244554;20;0.847413
205.2;57.8333;20;284.701;47081.2;38767;0.244554;20;0.847471
206.4;57.8365;20;284.723;47084.3;38770.4;0.244554;20;0.847527
207.6;57.8397;20;284.746;47087.3;38773.6;0.244554;20;0.847581
208.8;57.8428;20;284.767;47090.3;38776.8;0.244554;20;0.847633
210;57.8457;20;284.788;47093.1;38779.8;0.244554;20;0.847684
