#1

double tab1(1661,2)
0	56.8
2.87	56.84
5.87	56.95
8.995	56.98
11.87	56.95
14.87	57
18	57.05
21	57.15
23.87	57.16
26.87	57.15
30	57.13
32.87	57.31
35.87	57.29
39	57.3
41.87	57.33
44.87	57.46
48	57.46
50.87	57.43
53.87	57.46
57	57.58
60	57.61
62.87	57.6
65.995	57.57
68.995	57.67
71.87	57.74
74.87	57.77
78	57.74
80.87	57.78
83.87	57.81
87	57.91
89.87	57.9
92.87	57.91
96	57.93
99	57.94
101.87	58.01
105	58.02
108	58.04
110.87	58.07
113.87	58.08
117	58.08
119.87	58.03
122.87	58.11
125.995	58.13
128.87	58.16
131.87	58.21
135	58.22
138	58.21
140.87	58.23
143.87	58.23
147	58.22
149.87	58.24
152.87	58.22
156	58.23
159	58.21
161.87	58.25
164.87	58.31
168	58.32
170.87	58.34
173.87	58.36
176.87	58.38
180	58.35
182.87	58.35
185.87	58.38
188.995	58.4
191.87	58.36
194.87	58.41
197.87	58.38
201	58.4
203.87	58.37
206.87	58.38
210	58.41
213	58.4
215.87	58.37
218.87	58.37
222	58.4
224.87	58.38
227.87	58.46
230.87	58.46
234	58.45
236.87	58.43
239.87	58.51
242.87	58.5
245.87	58.54
248.995	58.49
251.87	58.51
254.87	58.5
258	58.54
261	58.54
263.87	58.54
266.87	58.51
270	58.55
272.87	58.51
275.87	58.55
278.87	58.54
282	58.55
284.87	58.55
287.87	58.54
291	58.55
294	58.56
296.87	58.55
299.87	58.54
303	58.52
305.87	58.52
308.87	58.51
312	58.52
315	58.56
317.87	58.54
320.87	58.56
324	58.5
326.87	58.51
329.87	58.57
332.87	58.57
336	58.51
338.87	58.54
341.87	58.56
345	58.55
347.87	58.52
350.87	58.57
354	58.55
357	58.56
359.87	58.55
362.87	58.56
365.995	58.54
368.995	58.55
371.87	58.55
374.87	58.57
377.87	58.55
380.87	58.56
384	58.54
386.87	58.54
389.87	58.55
393	58.55
396	58.55
398.87	58.56
401.87	58.57
404.87	58.57
408	58.57
410.87	58.56
413.87	58.55
416.87	58.55
420	58.52
422.87	58.48
425.87	58.51
428.87	58.43
432	58.45
435	58.46
437.87	58.4
440.87	58.41
444	58.42
446.87	58.38
449.87	58.4
452.87	58.38
456	58.42
458.87	58.41
461.87	58.41
465	58.4
468	58.38
470.87	58.4
473.87	58.41
477	58.32
479.87	58.38
482.87	58.3
485.87	58.3
488.995	58.23
491.87	58.27
494.87	58.25
497.87	58.24
500.87	58.25
503.87	58.24
507	58.24
510	58.28
513	58.28
516	58.25
519	58.28
522	58.27
525	58.25
528	58.27
531	58.24
534	58.27
537	58.25
539.87	58.23
543	58.19
545.995	58.09
548.995	58.13
552	58.13
555	58.14
558	58.08
561	58.08
564	58.1
567	58.09
570	58.1
573	58.1
576	58.09
579	58.09
582	58.11
585	58.1
588	58.1
590.87	58.11
594	58.12
597	58.12
600	58.11
603	58.11
605.995	58.1
608.995	58.02
612	58
615	57.96
618	58
621	57.97
624	57.98
627	57.95
629.87	57.96
633	57.97
636	57.98
639	57.97
642	57.97
645	57.97
648	57.97
651	57.98
654	57.88
657	57.88
660	57.83
663	57.83
665.995	57.82
668.995	57.84
672	57.82
675	57.81
678	57.83
681	57.83
684	57.83
687	57.83
690	57.83
693	57.82
696	57.77
699	57.79
702	57.74
705	57.72
708	57.64
711	57.67
714	57.65
717	57.65
720	57.65
723	57.64
725.995	57.67
728.995	57.67
732	57.65
735	57.65
738	57.65
741	57.68
744	57.68
747	57.65
750	57.6
753	57.63
756	57.6
759	57.62
762	57.59
765	57.55
768	57.54
771	57.53
774	57.56
777	57.53
780	57.56
783	57.53
785.995	57.5
788.87	57.53
791.87	57.53
795	57.53
798	57.53
801	57.51
804	57.53
807	57.53
810	57.53
813	57.54
816	57.54
819	57.51
822	57.51
825	57.54
828	57.53
831	57.51
834	57.51
836.87	57.54
840	57.51
843	57.53
845.995	57.54
848.995	57.54
852	57.5
855	57.51
858	57.54
861	57.51
864	57.56
867	57.55
870	57.5
873	57.51
876	57.5
879	57.53
882	57.5
885	57.53
888	57.51
891	57.55
894	57.51
897	57.53
900	57.53
903	57.55
905.995	57.54
908.995	57.54
912	57.54
915	57.55
918	57.55
921	57.54
923.87	57.54
927	57.55
930	57.54
933	57.55
936	57.55
939	57.54
942	57.55
945	57.57
948	57.55
951	57.55
954	57.55
956.87	57.54
960	57.54
963	57.57
965.995	57.55
968.995	57.53
972	57.51
975	57.54
978	57.54
981	57.55
983.87	57.56
987	57.57
990	57.57
993	57.57
996	57.55
998.87	57.55
1002	57.55
1005	57.54
1008	57.55
1011	57.55
1014	57.55
1017	57.56
1020	57.54
1023	57.54
1025.995	57.54
1028.87	57.56
1032	57.54
1035	57.55
1038	57.54
1041	57.54
1044	57.55
1047	57.56
1050	57.55
1053	57.55
1056	57.55
1059	57.57
1062	57.55
1065	57.55
1068	57.6
1071	57.55
1074	57.55
1077	57.55
1080	57.55
1083	57.58
1085.995	57.56
1088.995	57.55
1092	57.56
1095	57.56
1098	57.56
1101	57.56
1104	57.55
1107	57.6
1110	57.56
1113	57.55
1116	57.59
1119	57.55
1122	57.55
1125	57.59
1128	57.57
1131	57.55
1134	57.61
1137	57.65
1140	57.57
1142.87	57.6
1145.995	57.65
1148.995	57.65
1152	57.7
1155	57.61
1158	57.68
1161	57.73
1164	57.66
1167	57.61
1170	57.66
1173	57.69
1176	57.68
1179	57.69
1182	57.71
1185	57.72
1187.87	57.69
1191	57.72
1194	57.67
1197	57.72
1200	57.7
1203	57.71
1205.995	57.75
1208.995	57.7
1212	57.7
1215	57.69
1218	57.66
1221	57.7
1224	57.67
1227	57.67
1230	57.69
1233	57.67
1236	57.66
1239	57.67
1242	57.65
1245	57.7
1248	57.67
1251	57.71
1254	57.69
1257	57.72
1260	57.67
1263	57.75
1265.995	57.72
1268.995	57.76
1272	57.75
1275	57.76
1278	57.75
1281	57.72
1284	57.75
1287	57.76
1290	57.74
1293	57.75
1296	57.75
1299	57.72
1302	57.76
1305	57.74
1308	57.75
1311	57.74
1314	57.74
1317	57.74
1320	57.74
1323	57.75
1325.995	57.75
1328.995	57.75
1332	57.75
1335	57.75
1338	57.74
1341	57.75
1344	57.76
1347	57.72
1350	57.76
1353	57.75
1356	57.76
1359	57.75
1362	57.75
1365	57.76
1368	57.76
1371	57.77
1374	57.76
1377	57.76
1380	57.75
1383	57.74
1385.995	57.75
1388.995	57.75
1392	57.74
1395	57.77
1398	57.72
1401	57.72
1404	57.75
1407	57.76
1410	57.76
1413	57.77
1416	57.76
1419	57.77
1422	57.76
1425	57.77
1428	57.77
1431	57.76
1434	57.74
1437	57.77
1440	57.77
1443	57.74
1445.995	57.77
1448.995	57.76
1452	57.78
1455	57.75
1458	57.75
1461	57.78
1464	57.75
1467	57.76
1470	57.76
1473	57.78
1475.87	57.77
1479	57.77
1482	57.78
1485	57.78
1488	57.77
1491	57.76
1494	57.78
1497	57.77
1500	57.76
1503	57.77
1505.995	57.78
1508.995	57.78
1511.87	57.78
1515	57.77
1518	57.78
1521	57.77
1524	57.78
1527	57.77
1530	57.76
1533	57.77
1536	57.77
1539	57.76
1542	57.77
1545	57.75
1548	57.76
1551	57.78
1554	57.79
1556.87	57.78
1560	57.78
1563	57.78
1565.995	57.76
1568.995	57.77
1572	57.79
1575	57.78
1578	57.81
1581	57.77
1584	57.76
1587	57.78
1590	57.78
1593	57.76
1596	57.77
1599	57.77
1602	57.76
1605	57.79
1608	57.75
1611	57.77
1614	57.78
1617	57.12
1620	46.68
1623	34.33
1625.995	28.83
1628.995	26.27
1632	24.98
1635	24.23
1637.87	23.66
1641	23.25
1644	22.91
1646.87	22.67
1650	22.51
1653	22.22
1656	22.02
1659	21.82
1662	21.69
1665	21.51
1668	21.33
1671	21.17
1674	20.98
1677	20.83
1680	20.66
1683	20.67
