Time.y;nonCondensing.T_Out;nonCondensing.T_Inlet;nonCondensing.Qdot_Environment;nonCondensing.Qdot_in;nonCondensing.Qdot_Delivered;nonCondensing.mdot_water;nonCondensing.T_amb;nonCondensing.ControlConstant
0;56;60.15;121.6;0;-343.634;0.0197622;24;0
9.958;55.9081;60.18;122.219;0;-353.728;0.0197622;24.0066;0
19.916;55.8163;60.2178;122.76;0;-364.458;0.0197622;24.0465;0
29.874;55.7251;60.3184;123.459;0;-380.341;0.0197622;24.05;0
39.832;55.6354;60.3229;123.75;0;-393.474;0.0200336;24.1729;0
49.79;55.5505;60.3425;124.702;0;-409.822;0.020411;24.1326;0
59.748;55.4779;60.3275;125.699;0;-416;0.0204728;24.0883;0
69.706;55.4298;60.4527;126.777;0;-424.271;0.0201594;24.0313;0
79.664;55.4197;60.4112;127.644;0;-415.947;0.0198883;24.0235;0
89.622;55.4602;60.4705;128.485;0;-418.173;0.0199197;24.0209;0
99.58;55.5613;60.4578;129.182;0;-412.576;0.0201097;24.055;0
109.538;55.7253;60.4396;130.117;0;-398.358;0.020167;24.0184;0
119.496;55.9445;60.4639;130.951;0;-379.705;0.0200515;23.9965;0
129.454;56.2042;60.48;131.413;0;-356.095;0.0198762;24.0557;0
139.412;56.488;60.4851;131.93;0;-329.859;0.0196959;24.0803;0
149.37;56.7805;60.5683;132.556;0;-310.233;0.0195474;24.0583;0
159.328;57.0688;60.604;133.109;0;-289.132;0.0195197;24.0377;0
169.286;57.3443;60.49;133.626;0;-259.367;0.0196783;24.0066;0
179.244;57.6011;60.6014;133.629;0;-250.473;0.0199246;24.0947;0
189.202;57.8335;60.4822;133.751;0;-222.464;0.0200453;24.1386;0
199.16;58.036;60.5418;134.012;0;-209.573;0.0199606;24.1312;0
209.118;58.2066;60.6456;134.163;0;-202.298;0.019795;24.143;0
219.076;58.3474;60.4893;134.267;0;-177.104;0.0197332;24.154;0
229.034;58.4633;60.5304;134.486;0;-171.825;0.019838;24.125;0
238.992;58.5586;60.4859;134.532;0;-161.334;0.0199792;24.14;0
248.95;58.6359;60.5019;134.727;0;-155.929;0.0199435;24.1102;0
258.908;58.6961;60.5528;135.025;0;-153.037;0.0196717;24.0461;0
268.866;58.7412;60.6336;135.07;0;-153.791;0.0193957;24.0455;0
278.824;58.7753;60.4823;135.058;0;-138.602;0.0193791;24.06;0
288.782;58.8023;60.5679;135.103;0;-145.238;0.0196326;24.0575;0
298.74;58.8244;60.6662;134.796;0;-153.443;0.0198829;24.1507;0
308.698;58.8421;60.6211;134.944;0;-148.638;0.0199407;24.1194;0
318.656;58.8557;60.6179;135.031;0;-146.185;0.0197988;24.1063;0
328.614;58.8656;60.6316;134.696;0;-145.273;0.0196318;24.2033;0
338.572;58.8733;60.6421;134.713;0;-145.24;0.0195975;24.2069;0
348.53;58.8803;60.6476;134.765;0;-146.111;0.0197314;24.201;0
358.488;58.8879;60.6504;134.705;0;-147.003;0.0199066;24.2248;0
368.446;58.8962;60.4818;134.75;0;-132.544;0.0199502;24.2182;0
378.404;58.9029;60.4918;134.754;0;-129.794;0.0194963;24.2147;0
388.362;58.9057;60.4552;134.809;0;-120.401;0.0185455;24.1926;0
398.32;58.9026;60.3481;134.542;0;-104.538;0.0172608;24.2443;0
408.278;58.8937;60.3761;134.563;0;-101.357;0.0163182;24.219;0
418.236;58.8816;60.3544;134.357;0;-97.7667;0.0158428;24.2469;0
428.194;58.8679;60.3577;134.355;0;-98.5576;0.0157886;24.22;0
438.152;58.8538;60.3491;134.245;0;-99.2536;0.0158424;24.2228;0
448.11;58.8393;60.3459;133.968;0;-100.586;0.0159347;24.2707;0
458.068;58.8243;60.3456;133.895;0;-102.162;0.0160276;24.2654;0
468.026;58.8081;60.3897;133.868;0;-106.311;0.0160418;24.2497;0
477.984;58.7899;60.35;133.87;0;-104.405;0.0159716;24.2269;0
487.942;58.7694;60.3666;133.827;0;-106.384;0.0158967;24.2168;0
497.9;58.7471;60.3599;133.736;0;-107.482;0.015905;24.2201;0
507.858;58.7231;60.3529;133.618;0;-109.147;0.0159837;24.2314;0
517.816;58.6978;60.2474;133.507;0;-103.83;0.0159916;24.2403;0
527.774;58.671;60.3877;133.446;0;-114.174;0.0158725;24.2392;0
537.732;58.6427;60.36;133.297;0;-112.504;0.0156356;24.2623;0
547.69;58.613;60.3544;133.229;0;-111.743;0.0153154;24.2626;0
557.648;58.5819;60.2112;133.186;0;-101.781;0.0149094;24.2526;0
567.606;58.5494;60.202;133.061;0;-99.9289;0.0144316;24.262;0
577.564;58.5161;60.2096;132.633;0;-99.5735;0.0140327;24.3504;0
587.522;58.4822;60.1925;132.831;0;-98.3017;0.0137175;24.2732;0
597.48;58.4481;60.2016;132.618;0;-98.9826;0.0134725;24.304;0
607.438;58.4143;60.13;132.497;0;-95.2332;0.0132476;24.3092;0
617.396;58.3813;60.0842;132.004;0;-93.3243;0.0130796;24.4099;0
627.354;58.3488;60.0412;132.041;0;-91.8741;0.0129556;24.37;0
637.312;58.3168;60.0931;131.834;0;-95.5482;0.0128377;24.3969;0
647.27;58.2852;60.0551;131.847;0;-94.4014;0.0127295;24.3649;0
657.228;58.2539;60.06;131.614;0;-95.5638;0.0126281;24.3992;0
667.186;58.2229;60.06;131.56;0;-96.4678;0.0125321;24.3879;0
677.144;58.1919;60.1743;131.411;0;-103.195;0.0124235;24.4043;0
687.102;58.161;60.0797;131.375;0;-99.295;0.0123512;24.39;0
697.06;58.1302;60.0629;131.333;0;-99.7629;0.0123194;24.3771;0
707.018;58.0997;60.0635;131.451;0;-101.368;0.0123195;24.3231;0
716.976;58.0695;60.0898;131.366;0;-104.357;0.0123282;24.325;0
726.934;58.04;60.0837;131.236;0;-105.964;0.0123743;24.34;0
736.892;58.0113;60.07;131.225;0;-107.505;0.012463;24.325;0
746.85;57.9836;60.06;131.068;0;-109.424;0.0125772;24.35;0
756.808;57.9568;60.0727;130.992;0;-112.205;0.0126563;24.3554;0
766.766;57.9308;60.07;130.87;0;-113.738;0.0126897;24.3741;0
776.724;57.9058;60.0418;130.556;0;-113.546;0.0126865;24.4445;0
786.682;57.8814;60.0465;130.718;0;-114.859;0.0126608;24.39;0
796.64;57.8573;60.0855;130.677;0;-117.261;0.0125598;24.39;0
806.598;57.8331;59.9861;130.636;0;-111.657;0.0123773;24.39;0
816.556;57.8088;59.9578;130.353;0;-109.392;0.0121488;24.453;0
826.514;57.7852;60.08;130.256;0;-115.883;0.0120519;24.4677;0
836.472;57.7629;60.0786;130.27;0;-117.627;0.0121231;24.4542;0
846.43;57.743;60.0642;130.426;0;-120.024;0.0123405;24.405;0
856.388;57.7248;60.08;130.494;0;-123.694;0.0125343;24.3808;0
866.346;57.7087;59.9818;130.106;0;-120.476;0.0126493;24.4778;0
876.304;57.6943;60.07;130.19;0;-126.217;0.0126799;24.452;0
886.262;57.6813;60.0253;130.204;0;-124.547;0.0126812;24.4458;0
896.22;57.6695;60.0726;130.418;0;-127.466;0.012659;24.3874;0
906.178;57.6585;60.0894;130.553;0;-128.303;0.0125968;24.3499;0
916.136;57.6482;60.0738;130.401;0;-126.987;0.0124947;24.3876;0
926.094;57.6382;60.0829;130.312;0;-126.869;0.0123857;24.4084;0
936.052;57.6289;60.0879;130.325;0;-126.878;0.0123142;24.4001;0
946.01;57.6202;59.9833;130.174;0;-121.621;0.0122834;24.4333;0
955.968;57.6123;60.032;130.222;0;-124.535;0.0122834;24.416;0
965.926;57.6052;60.0679;130.191;0;-126.807;0.0122889;24.4205;0
975.884;57.5989;60.0358;130.239;0;-125.554;0.0122964;24.405;0
985.842;57.5934;60.08;130.084;0;-128.131;0.012298;24.4437;0
995.8;57.5887;60.0787;129.859;0;-128.365;0.0123037;24.5013;0
1005.76;57.5849;60.0875;129.902;0;-129.43;0.0123431;24.4888;0
1015.72;57.582;60.0843;129.801;0;-130.283;0.012426;24.5143;0
1025.67;57.5803;60.1079;129.918;0;-132.865;0.0125455;24.485;0
1035.63;57.58;60.11;129.879;0;-134.691;0.0127057;24.4968;0
1045.59;57.5813;60.0401;129.471;0;-132.97;0.012907;24.6053;0
1055.55;57.5846;60.1115;129.521;0;-139.155;0.0131428;24.597;0
1065.51;57.5893;60.1066;129.58;0;-140.519;0.0133222;24.5884;0
1075.46;57.5951;60.1002;129.678;0;-140.878;0.0134211;24.5702;0
1085.42;57.6013;60.1223;129.9;0;-142.044;0.013447;24.5196;0
1095.38;57.6075;60.1075;130.184;0;-140.773;0.0134392;24.4525;0
1105.34;57.6135;60.11;130.141;0;-140.009;0.0133846;24.4712;0
1115.3;57.6189;60.11;130.056;0;-138.644;0.0132829;24.5;0
1125.25;57.6236;60.1083;130.068;0;-137.08;0.0131669;24.5021;0
1135.21;57.628;60.1706;129.984;0;-139.502;0.0130945;24.5331;0
1145.17;57.6325;60.1247;129.733;0;-136.447;0.0130668;24.6047;0
1155.13;57.6372;60.1109;129.749;0;-135.437;0.0130675;24.6091;0
1165.09;57.6421;60.1136;129.753;0;-135.331;0.0130684;24.6126;0
1175.04;57.6474;60.2473;129.671;0;-142.336;0.013066;24.6389;0
1185;57.6526;60.1;129.59;0;-133.928;0.0130604;24.665;0
1194.96;57.6579;60.1064;129.901;0;-133.949;0.0130565;24.5876;0
1204.92;57.6631;60.1788;130.085;0;-137.602;0.0130543;24.545;0
1214.88;57.6686;60.1008;129.882;0;-133.11;0.0130613;24.6008;0
1224.83;57.6739;60.1633;130.244;0;-136.31;0.0130684;24.51;0
1234.79;57.6794;60.094;130.286;0;-132.269;0.0130738;24.501;0
1244.75;57.6849;60.1;130.168;0;-132.259;0.0130701;24.5338;0
1254.71;57.6903;60.1229;130.225;0;-133.138;0.0130623;24.52;0
1264.67;57.6957;60.1111;130.19;0;-132.144;0.0130567;24.5311;0
1274.62;57.701;60.1213;130.094;0;-132.384;0.0130543;24.5581;0
1284.58;57.7062;60.12;129.819;0;-132.003;0.0130517;24.6319;0
1294.54;57.7113;60.1103;129.91;0;-131.168;0.0130493;24.6095;0
1304.5;57.7162;60.1283;129.787;0;-131.907;0.0130511;24.6433;0
1314.46;57.7209;60.12;129.758;0;-131.272;0.0130589;24.6522;0
1324.41;57.7253;60.1686;129.652;0;-133.747;0.0130642;24.6817;0
1334.37;57.7295;60.1379;129.745;0;-132.029;0.0130832;24.6584;0
1344.33;57.7337;60.1389;129.836;0;-132.44;0.0131415;24.6356;0
1354.29;57.7382;60.1343;129.851;0;-132.981;0.0132458;24.6343;0
