#1
double tab1(2218,12)
170.88	12.66	15.09	20.04	22.96	16.49	15.5	13.32	25.52	21.98033025	0.002640642	0
173.75	12.65	15.14	20.05	22.97	16.51	15.52	13.34	25.555	10.99016513	0.00262237	0
176.875	12.66	15.13	20.08	22.92	16.49	15.5	13.32	25.52	10.99016513	0.002607687	0
179.75	12.69	15.17	20.12	22.92	16.49	15.5	13.37	25.54	10.99016513	0.002596267	0
182.75	12.68	15.17	20.08	22.92	16.49	15.5	13.45	25.54	10.99016513	0.00258811	0
185.88	12.7	15.19	20.09	22.93	16.51	15.52	13.51	25.535	21.98033025	0.002584847	0
188.75	12.69	15.16	20.07	22.9	16.52	15.49	13.48	25.53	10.99016513	0.00258501	0
191.88	12.69	15.2	20.07	22.94	16.52	15.53	13.52	25.57	21.98033025	0.002585173	0
194.88	12.73	15.24	20.07	22.9	16.6	15.57	13.48	25.53	10.99016513	0.00258501	0
197.88	12.69	15.27	20.05	22.93	16.67	15.68	13.51	25.555	10.99016513	0.002585173	0
200.88	12.69	15.3	20.08	22.92	16.66	15.67	13.49	25.54	21.98033025	0.005770373	0
203.88	12.69	15.32	20.07	22.9	16.65	15.65	13.48	25.53	21.98033025	0.012141751	0
206.88	12.73	15.32	20.07	22.9	16.65	15.65	13.48	25.51	10.99016513	0.021699633	0
209.88	12.76	15.32	20.11	22.9	16.65	15.65	13.48	25.49	21.98033025	0.034444347	0
212.88	12.77	15.31	20.09	22.89	16.63	15.64	13.46	25.475	10.99016513	0.050375892	0
215.88	12.77	15.38	20.12	22.92	16.66	15.67	13.57	25.52	10.99016513	0.069493126	0
218.88	12.86	15.37	20.11	22.9	16.69	15.78	13.64	25.505	21.98033025	0.091797517	0
221.88	14.05	15.23	20.05	22.85	16.67	15.68	15.09	25.475	21.98033025	0.117288739	0
224.88	13.54	14.74	20.07	22.9	16.69	15.78	13.69	25.505	21.98033025	0.14596614	0
227.88	12.72	14.3	20	22.88	16.58	15.63	13.28	25.48	21.98033025	0.177829393	0
230.88	11.99	13.86	20.01	22.93	16.55	15.6	12.67	25.515	10.99016513	0.206506793	0
233.88	11.69	13.24	19.85	22.89	16.38	15.35	11.96	25.495	21.98033025	0.231998015	0
236.875	11.6	12.8	19.82	22.86	16.23	15.12	11.76	25.505	10.99016513	0.254301101	0
239.875	11.63	12.45	19.68	22.85	16.01	14.77	11.58	25.475	21.98033025	0.273417683	0
242.88	11.54	12.23	19.59	22.8	15.92	14.55	11.48	25.44	21.98033025	0.289347759	0
245.88	11.54	12.11	19.55	22.79	15.71	14.39	11.44	25.5	21.98033025	0.302090026	0
248.88	11.53	11.98	19.46	22.79	15.59	14.14	11.44	25.5	21.98033025	0.311645625	0
251.88	11.52	11.83	19.31	22.77	15.35	13.95	11.41	25.475	21.98033025	0.318014719	0
254.88	11.53	11.83	19.27	22.81	15.27	13.78	11.45	25.515	21.98033025	0.321197634	0
257.88	11.57	11.87	19.27	22.77	15.23	13.74	11.5	25.555	21.98033025	0.321194371	0
260.88	11.52	11.82	19.17	22.75	15.09	13.6	11.48	25.52	21.98033025	0.321191109	0
263.88	11.49	11.72	19.16	22.74	14.99	13.42	11.47	25.47	10.99016513	0.321186214	0
266.88	11.35	11.68	19.08	22.7	14.91	13.34	11.3	25.45	10.99016513	0.321184583	0
269.88	11.21	11.6	19.04	22.66	14.79	13.25	11.3	25.425	21.98033025	0.32118132	0
272.88	11.03	11.46	18.94	22.6	14.61	13.08	11.08	25.435	21.98033025	0.321176426	0
275.88	10.94	11.33	18.94	22.64	14.57	13.08	10.95	25.495	21.98033025	0.321173163	0
278.88	10.85	11.36	18.89	22.67	14.47	13.02	10.98	25.5	21.98033025	0.321168269	0
281.88	10.85	11.18	18.83	22.66	14.37	12.88	10.8	25.49	21.98033025	0.321161743	0
284.88	10.85	11.15	18.81	22.67	14.26	12.81	10.81	25.46	21.98033025	0.321153586	0
287.88	10.86	11.1	18.71	22.62	14.17	12.72	10.8	25.425	21.98033025	0.321143797	0
290.88	10.83	11.02	18.67	22.58	14.08	12.59	10.8	25.425	21.98033025	0.321132377	0
293.88	10.85	11	18.61	22.56	13.99	12.54	10.78	25.435	21.98033025	0.321122589	0
296.875	10.79	11.03	18.6	22.59	13.93	12.48	10.69	25.48	10.99016513	0.321109537	0
299.875	10.72	11.06	18.58	22.57	13.96	12.43	10.71	25.485	21.98033025	0.321098117	0
302.88	10.69	11	18.57	22.6	13.99	12.41	10.7	25.515	10.99016513	0.321088329	0
305.88	10.69	10.89	18.38	22.45	13.8	12.26	10.59	25.405	10.99016513	0.321080171	0
308.88	10.68	10.92	18.41	22.52	13.7	12.33	10.66	25.515	21.98033025	0.321073646	0
311.88	10.57	10.86	18.39	22.55	13.68	12.27	10.64	25.5	21.98033025	0.321068752	0
314.88	10.51	10.88	18.37	22.52	13.66	12.25	10.53	25.535	10.99016513	0.321065489	0
317.88	10.5	10.81	18.34	22.49	13.59	12.14	10.46	25.51	21.98033025	0.321063857	0
320.88	10.51	10.72	18.26	22.49	13.5	12.09	10.46	25.53	21.98033025	0.321063857	0
323.88	10.34	10.68	18.21	22.49	13.42	12.09	10.46	25.51	21.98033025	0.321063857	0
326.88	10.33	10.7	18.19	22.51	13.43	12.07	10.35	25.54	21.98033025	0.321065489	0
329.88	10.34	10.67	18.16	22.48	13.37	12	10.32	25.535	21.98033025	0.32106712	0
332.88	10.34	10.6	18.13	22.49	13.38	12.05	10.34	25.57	21.98033025	0.321068752	0
335.88	10.25	10.55	18.04	22.4	13.28	11.96	10.28	25.515	21.98033025	0.32106712	0
338.88	10.22	10.56	18.13	22.45	13.3	11.97	10.25	25.57	21.98033025	0.321065489	0
341.88	10.18	10.54	18.08	22.44	13.2	11.91	10.15	25.555	21.98033025	0.321063857	0
344.88	10.18	10.45	18.06	22.38	13.19	11.82	10.14	25.54	21.98033025	0.321062226	0
347.88	10.18	10.42	18.04	22.36	13.12	11.79	10.15	25.555	10.99016513	0.321060594	0
350.88	10.16	10.36	18.02	22.34	13.1	11.73	10.14	25.54	21.98033025	0.321058963	0
353.88	10.19	10.38	17.99	22.36	13.08	11.75	10.15	25.555	21.98033025	0.321057332	0
356.88	10.19	10.36	17.9	22.34	13.02	11.65	10.14	25.54	10.99016513	0.3210557	0
359.88	10.18	10.34	17.87	22.32	12.95	11.58	10.11	25.515	21.98033025	0.321054069	0
362.88	10.18	10.31	17.84	22.33	13.01	11.64	10.13	25.53	21.98033025	0.321052437	0
365.88	10.18	10.3	17.75	22.32	12.91	11.54	10.11	25.515	21.98033025	0.321052437	0
368.88	10.18	10.3	17.75	22.27	12.87	11.58	10.11	25.515	21.98033025	0.321052437	0
371.88	10.19	10.34	17.71	22.23	12.83	11.54	10.11	25.515	21.98033025	0.321052437	0
374.88	10.2	10.3	17.71	22.23	12.83	11.54	10.11	25.515	10.99016513	0.321052437	0
377.88	10.16	10.31	17.72	22.17	12.76	11.56	10.13	25.53	21.98033025	0.321052437	0
380.88	10.04	10.28	17.69	22.18	12.73	11.57	10.1	25.5	21.98033025	0.321052437	0
383.88	10.04	10.25	17.67	22.19	12.74	11.54	10.11	25.515	21.98033025	0.321052437	0
386.88	10.02	10.27	17.72	22.17	12.8	11.56	9.96	25.53	21.98033025	0.321052437	0
389.88	10.02	10.23	17.68	22.17	12.76	11.51	9.96	25.51	21.98033025	0.321052437	0
