time	GasIn	Tout
397	0	293.79
398	0	293.8
399	0	293.8
400	0	293.79
401	0	293.8
402	0	293.8
403	0	293.8
404	0	293.8
405	0	293.8
406	0	293.78
408	59.35	293.77
409	0	293.79
410	0	293.8
411	0	293.78
412	0	293.8
413	0	293.79
414	0	293.8
415	0	293.8
416	0	293.8
417	0	293.78
418	0	293.81
419	0	293.8
420	0	293.8
421	121.04	293.79
422	0	293.79
423	0	293.81
424	0	293.79
425	0	293.79
426	0	293.79
427	0	293.8
428	0	293.79
429	306.11	293.81
430	0	293.8
431	0	293.8
433	0	293.8
434	0	293.81
435	244.42	293.79
436	0	293.8
437	0	293.8
438	0	293.78
439	0	293.8
440	0	293.82
441	0	293.8
442	0	293.79
443	367.8	293.79
444	0	293.8
445	182.73	293.8
446	0	293.8
447	0	293.8
448	0	293.8
449	0	293.79
450	0	293.81
451	0	293.8
452	0	293.81
453	0	293.8
454	0	293.8
455	0	293.79
456	0	293.8
458	0	293.81
459	0	293.8
460	0	293.8
461	0	293.8
462	0	293.8
463	0	293.79
464	0	293.8
465	0	293.8
466	0	293.79
467	0	293.81
468	0	293.82
469	0	293.8
470	59.35	293.81
471	59.35	293.79
472	244.42	293.81
473	0	293.8
474	0	293.8
475	0	293.79
476	0	293.8
477	0	293.8
478	0	293.78
479	0	293.79
480	59.35	293.8
482	0	293.79
483	0	293.79
484	0	293.79
485	0	293.8
486	0	293.81
487	0	293.79
488	0	293.79
489	0	293.8
490	0	293.8
491	0	293.79
492	0	293.79
493	59.35	293.79
494	0	293.8
495	0	293.81
496	0	293.8
497	59.35	293.8
498	0	293.79
499	0	293.79
500	0	293.79
501	0	293.79
502	0	293.78
503	0	293.79
504	0	293.79
505	0	293.8
507	0	293.79
508	0	293.8
509	0	293.78
510	59.35	293.79
511	0	293.8
512	0	293.79
513	0	293.8
514	0	293.79
515	121.04	293.79
516	0	293.81
517	0	293.79
518	0	293.8
519	0	293.81
520	0	293.79
521	0	293.79
522	121.04	293.79
523	0	293.79
524	0	293.78
525	0	293.79
526	0	293.8
527	0	293.8
528	0	293.79
529	59.35	293.8
531	0	293.8
532	0	293.8
533	0	293.78
534	0	293.79
535	121.04	293.78
536	0	293.77
537	0	293.77
538	0	293.76
539	0	293.77
540	0	293.79
541	59.35	293.79
542	0	293.78
543	0	293.78
544	0	293.78
545	0	293.77
546	0	293.78
547	0	293.78
548	0	293.79
549	0	293.78
550	0	293.78
551	0	293.78
552	0	293.77
