Time,hyDra.mFloIn[1],hyDra.TWat[1],hyDra.TIn,hyDra.draHeaTra[1]
44.6,1,52,20,16739.1
44.8,1,52,20,16739.1
45,1,52,20,16739.1
45,1,52,20,16739.1
45,0,52,20,0
45.2,0,52,20,0
45.4,0,52,20,0
45.6,0,52,20,0
45.8,0,52,20,0
46,0,52,20,0
46.2,0,52,20,0
46.4,0,52,20,0
46.6,0,52,20,0
46.8,0,52,20,0
47,0,52,20,0
47.2,0,52,20,0
47.4,0,52,20,0
47.6,0,52,20,0
47.8,0,52,20,0
48,0,52,20,0
48.2,0,52,20,0
48.4,0,52,20,0
48.6,0,52,20,0
48.8,0,52,20,0
49,0,52,20,0
49.2,0,52,20,0
49.4,0,52,20,0
49.6,0,52,20,0
49.8,0,52,20,0
50,0,52,20,0
50,0,52,20,0
50,1,52,20,16739.1
50.2,1,52,20,16739.1
50.4,1,52,20,16739.1
50.6,1,52,20,16739.1
50.8,1,52,20,16739.1
51,1,52,20,16739.1
51.2,1,52,20,16739.1
51.4,1,52,20,16739.1
51.6,1,52,20,16739.1
51.8,1,52,20,16739.1
52,1,52,20,16739.1
52.2,1,52,20,16739.1
52.4,1,52,20,16739.1
52.6,1,52,20,16739.1
52.8,1,52,20,16739.1
53,1,52,20,16739.1
53.2,1,52,20,16739.1
53.4,1,52,20,16739.1
53.6,1,52,20,16739.1
53.8,1,52,20,16739.1
54,1,52,20,16739.1
54.2,1,52,20,16739.1
54.4,1,52,20,16739.1
54.6,1,52,20,16739.1
54.8,1,52,20,16739.1
55,1,52,20,16739.1
55,1,52,20,16739.1
55,0,52,20,0
55.2,0,52,20,0
55.4,0,52,20,0
55.6,0,52,20,0
55.8,0,52,20,0
56,0,52,20,0
56.2,0,52,20,0
56.4,0,52,20,0
56.6,0,52,20,0
56.8,0,52,20,0
57,0,52,20,0
57.2,0,52,20,0
57.4,0,52,20,0
57.6,0,52,20,0
57.8,0,52,20,0
58,0,52,20,0
58.2,0,52,20,0
58.4,0,52,20,0
58.6,0,52,20,0
58.8,0,52,20,0
59,0,52,20,0
59.2,0,52,20,0
59.4,0,52,20,0
59.6,0,52,20,0
59.8,0,52,20,0
60,0,52,20,0
60,0,52,20,0
60,1,52,20,16739.1
60.2,1,52,20,16739.1
60.4,1,52,20,16739.1
60.6,1,52,20,16739.1
60.8,1,52,20,16739.1
61,1,52,20,16739.1
61.2,1,52,20,16739.1
61.4,1,52,20,16739.1
61.6,1,52,20,16739.1
61.8,1,52,20,16739.1
62,1,52,20,16739.1
62.2,1,52,20,16739.1
62.4,1,52,20,16739.1
62.6,1,52,20,16739.1
62.8,1,52,20,16739.1
63,1,52,20,16739.1
63.2,1,52,20,16739.1
63.4,1,52,20,16739.1
63.6,1,52,20,16739.1
63.8,1,52,20,16739.1
64,1,52,20,16739.1
64.2,1,52,20,16739.1
64.4,1,52,20,16739.1
64.6,1,52,20,16739.1
64.8,1,52,20,16739.1
65,1,52,20,16739.1
65,1,52,20,16739.1
65,0,52,20,0
65.2,0,52,20,0
65.4,0,52,20,0
65.6,0,52,20,0
65.8,0,52,20,0
66,0,52,20,0
66.2,0,52,20,0
66.4,0,52,20,0
66.6,0,52,20,0
66.8,0,52,20,0
67,0,52,20,0
67.2,0,52,20,0
67.4,0,52,20,0
67.6,0,52,20,0
67.8,0,52,20,0
68,0,52,20,0
68.2,0,52,20,0
68.4,0,52,20,0
68.6,0,52,20,0
68.8,0,52,20,0
69,0,52,20,0
69.2,0,52,20,0
69.4,0,52,20,0
69.6,0,52,20,0
69.8,0,52,20,0
70,0,52,20,0
70,0,52,20,0
70,1,52,20,16739.1
70.2,1,52,20,16739.1
70.4,1,52,20,16739.1
70.6,1,52,20,16739.1
70.8,1,52,20,16739.1
71,1,52,20,16739.1
71.2,1,52,20,16739.1
71.4,1,52,20,16739.1
71.6,1,52,20,16739.1
71.8,1,52,20,16739.1
72,1,52,20,16739.1
72.2,1,52,20,16739.1
72.4,1,52,20,16739.1
72.6,1,52,20,16739.1
72.8,1,52,20,16739.1
73,1,52,20,16739.1
73.2,1,52,20,16739.1
73.4,1,52,20,16739.1
73.6,1,52,20,16739.1
73.8,1,52,20,16739.1
74,1,52,20,16739.1
74.2,1,52,20,16739.1
74.4,1,52,20,16739.1
74.6,1,52,20,16739.1
74.8,1,52,20,16739.1
75,1,52,20,16739.1
75,1,52,20,16739.1
75,0,52,20,0
75.2,0,52,20,0
75.4,0,52,20,0
75.6,0,52,20,0
75.8,0,52,20,0
76,0,52,20,0
76.2,0,52,20,0
76.4,0,52,20,0
76.6,0,52,20,0
76.8,0,52,20,0
77,0,52,20,0
77.2,0,52,20,0
77.4,0,52,20,0
77.6,0,52,20,0
77.8,0,52,20,0
78,0,52,20,0
78.2,0,52,20,0
78.4,0,52,20,0
78.6,0,52,20,0
78.8,0,52,20,0
79,0,52,20,0
79.2,0,52,20,0
79.4,0,52,20,0
79.6,0,52,20,0
79.8,0,52,20,0
80,0,52,20,0
80,0,52,20,0
80,1,52,20,16739.1
80.2,1,52,20,16739.1
80.4,1,52,20,16739.1
80.6,1,52,20,16739.1
80.8,1,52,20,16739.1
81,1,52,20,16739.1
81.2,1,52,20,16739.1
81.4,1,52,20,16739.1
81.6,1,52,20,16739.1
81.8,1,52,20,16739.1
82,1,52,20,16739.1
82.2,1,52,20,16739.1
82.4,1,52,20,16739.1
82.6,1,52,20,16739.1
82.8,1,52,20,16739.1
83,1,52,20,16739.1
83.2,1,52,20,16739.1
83.4,1,52,20,16739.1
83.6,1,52,20,16739.1
83.8,1,52,20,16739.1
84,1,52,20,16739.1
84.2,1,52,20,16739.1
84.4,1,52,20,16739.1
84.6,1,52,20,16739.1
84.8,1,52,20,16739.1
85,1,52,20,16739.1
85,1,52,20,16739.1
85,0,52,20,0
85.2,0,52,20,0
85.4,0,52,20,0
85.6,0,52,20,0
85.8,0,52,20,0
86,0,52,20,0
86.2,0,52,20,0
86.4,0,52,20,0
86.6,0,52,20,0
86.8,0,52,20,0
87,0,52,20,0
87.2,0,52,20,0
87.4,0,52,20,0
87.6,0,52,20,0
87.8,0,52,20,0
88,0,52,20,0
88.2,0,52,20,0
88.4,0,52,20,0
88.6,0,52,20,0
88.8,0,52,20,0
89,0,52,20,0
89.2,0,52,20,0
89.4,0,52,20,0
89.6,0,52,20,0
89.8,0,52,20,0
90,0,52,20,0
90,0,52,20,0
90,1,52,20,16739.1
90.2,1,52,20,16739.1
90.4,1,52,20,16739.1
90.6,1,52,20,16739.1
90.8,1,52,20,16739.1
91,1,52,20,16739.1
91.2,1,52,20,16739.1
91.4,1,52,20,16739.1
91.6,1,52,20,16739.1
91.8,1,52,20,16739.1
92,1,52,20,16739.1
92.2,1,52,20,16739.1
92.4,1,52,20,16739.1
92.6,1,52,20,16739.1
92.8,1,52,20,16739.1
93,1,52,20,16739.1
93.2,1,52,20,16739.1
93.4,1,52,20,16739.1
93.6,1,52,20,16739.1
93.8,1,52,20,16739.1
94,1,52,20,16739.1
94.2,1,52,20,16739.1
94.4,1,52,20,16739.1
94.6,1,52,20,16739.1
94.8,1,52,20,16739.1
95,1,52,20,16739.1
95,1,52,20,16739.1
95,0,52,20,0
95.2,0,52,20,0
95.4,0,52,20,0
95.6,0,52,20,0
95.8,0,52,20,0
96,0,52,20,0
96.2,0,52,20,0
96.4,0,52,20,0
96.6,0,52,20,0
96.8,0,52,20,0
97,0,52,20,0
97.2,0,52,20,0
97.4,0,52,20,0
97.6,0,52,20,0
97.8,0,52,20,0
98,0,52,20,0
98.2,0,52,20,0
98.4,0,52,20,0
98.6,0,52,20,0
98.8,0,52,20,0
99,0,52,20,0
99.2,0,52,20,0
99.4,0,52,20,0
99.6,0,52,20,0
99.8,0,52,20,0
100,0,52,20,0
100,1,52,20,16739.1
