Time,realToInteger.u,realToInteger.y,pump.TStatSig,pump.RecircFlow,pump.CircFlow,pump.QElePum,pump.QPum
12.5,0.5,1,1,0.12,0.12,50,50
12.5,0.5,0,0,0.12,0,50,0
12.6,0.437333,0,0,0.12,0,50,0
12.72,0.363524,0,0,0.12,0,50,0
12.84,0.292812,0,0,0.12,0,50,0
12.96,0.226803,0,0,0.12,0,50,0
13.08,0.166994,0,0,0.12,0,50,0
13.2,0.114743,0,0,0.12,0,50,0
13.32,0.0712367,0,0,0.12,0,50,0
13.44,0.0374614,0,0,0.12,0,50,0
13.56,0.0141841,0,0,0.12,0,50,0
13.68,0.0019332,0,0,0.12,0,50,0
13.8,0.000986636,0,0,0.12,0,50,0
13.92,0.0113659,0,0,0.12,0,50,0
14.04,0.0328355,0,0,0.12,0,50,0
14.16,0.0649081,0,0,0.12,0,50,0
14.28,0.106856,0,0,0.12,0,50,0
14.4,0.157726,0,0,0.12,0,50,0
14.52,0.216366,0,0,0.12,0,50,0
14.64,0.281442,0,0,0.12,0,50,0
14.76,0.351479,0,0,0.12,0,50,0
14.88,0.424887,0,0,0.12,0,50,0
15,0.5,0,0,0.12,0,50,0
15,0.5,0,0,0.12,0,50,0
15,0.5,1,1,0.12,0.12,50,50
15.12,0.575113,1,1,0.12,0.12,50,50
15.24,0.648521,1,1,0.12,0.12,50,50
15.36,0.718558,1,1,0.12,0.12,50,50
15.48,0.783634,1,1,0.12,0.12,50,50
15.6,0.842274,1,1,0.12,0.12,50,50
15.72,0.893144,1,1,0.12,0.12,50,50
15.84,0.935092,1,1,0.12,0.12,50,50
15.96,0.967164,1,1,0.12,0.12,50,50
16.08,0.988634,1,1,0.12,0.12,50,50
16.2,0.999013,1,1,0.12,0.12,50,50
16.32,0.998067,1,1,0.12,0.12,50,50
16.44,0.985816,1,1,0.12,0.12,50,50
16.56,0.962539,1,1,0.12,0.12,50,50
16.68,0.928763,1,1,0.12,0.12,50,50
16.8,0.885257,1,1,0.12,0.12,50,50
16.92,0.833006,1,1,0.12,0.12,50,50
17.04,0.773197,1,1,0.12,0.12,50,50
17.16,0.707188,1,1,0.12,0.12,50,50
17.28,0.636476,1,1,0.12,0.12,50,50
17.4,0.562667,1,1,0.12,0.12,50,50
17.5,0.5,1,1,0.12,0.12,50,50
17.5,0.5,0,0,0.12,0,50,0
17.52,0.487435,0,0,0.12,0,50,0
17.64,0.412488,0,0,0.12,0,50,0
17.76,0.339528,0,0,0.12,0,50,0
17.88,0.27021,0,0,0.12,0,50,0
18,0.206107,0,0,0.12,0,50,0
18.12,0.148675,0,0,0.12,0,50,0
18.24,0.0992165,0,0,0.12,0,50,0
18.36,0.0588544,0,0,0.12,0,50,0
18.48,0.0285047,0,0,0.12,0,50,0
18.6,0.00885637,0,0,0.12,0,50,0
18.72,0.000355264,0,0,0.12,0,50,0
18.84,0.00319434,0,0,0.12,0,50,0
18.96,0.0173092,0,0,0.12,0,50,0
19.08,0.0423794,0,0,0.12,0,50,0
19.2,0.077836,0,0,0.12,0,50,0
19.32,0.122874,0,0,0.12,0,50,0
19.44,0.176472,0,0,0.12,0,50,0
19.56,0.237413,0,0,0.12,0,50,0
19.68,0.304313,0,0,0.12,0,50,0
19.8,0.375655,0,0,0.12,0,50,0
19.92,0.449819,0,0,0.12,0,50,0
20,0.5,0,0,0.12,0,50,0
20,0.5,1,1,0.12,0.12,50,50
