Time,cirHeaTra1.TRec,cirHeaTra1.TWat[1],cirHeaTra1.mFloCir,cirHeaTra1.cirHeaTra[1],cirHeaTra1.c_p,cirHeaTra1.nSeg
218,59.3957,52,0.12,464.238,4184.78,8
220,59.4686,52,0.12,468.818,4184.78,8
222,59.5369,52,0.12,473.106,4184.78,8
224,59.6006,52,0.12,477.101,4184.78,8
226,59.6596,52,0.12,480.803,4184.78,8
228,59.7138,52,0.12,484.211,4184.78,8
230,59.7634,52,0.12,487.324,4184.78,8
232,59.8083,52,0.12,490.143,4184.78,8
234,59.8485,52,0.12,492.666,4184.78,8
236,59.884,52,0.12,494.893,4184.78,8
238,59.9148,52,0.12,496.823,4184.78,8
240,59.9408,52,0.12,498.458,4184.78,8
242,59.9621,52,0.12,499.795,4184.78,8
244,59.9787,52,0.12,500.836,4184.78,8
246,59.9905,52,0.12,501.579,4184.78,8
248,59.9976,52,0.12,502.025,4184.78,8
250,60,52,0.12,502.174,4184.78,8
252,59.9976,52,0.12,502.025,4184.78,8
254,59.9905,52,0.12,501.579,4184.78,8
256,59.9787,52,0.12,500.836,4184.78,8
258,59.9621,52,0.12,499.795,4184.78,8
260,59.9408,52,0.12,498.458,4184.78,8
262,59.9148,52,0.12,496.823,4184.78,8
264,59.884,52,0.12,494.893,4184.78,8
266,59.8485,52,0.12,492.666,4184.78,8
268,59.8083,52,0.12,490.143,4184.78,8
270,59.7634,52,0.12,487.324,4184.78,8
272,59.7138,52,0.12,484.211,4184.78,8
274,59.6596,52,0.12,480.803,4184.78,8
276,59.6006,52,0.12,477.101,4184.78,8
278,59.5369,52,0.12,473.106,4184.78,8
280,59.4686,52,0.12,468.818,4184.78,8
282,59.3957,52,0.12,464.238,4184.78,8
284,59.318,52,0.12,459.366,4184.78,8
286,59.2358,52,0.12,454.204,4184.78,8
288,59.149,52,0.12,448.752,4184.78,8
290,59.0575,52,0.12,443.011,4184.78,8
292,58.9614,52,0.12,436.982,4184.78,8
294,58.8608,52,0.12,430.666,4184.78,8
296,58.7557,52,0.12,424.064,4184.78,8
298,58.6459,52,0.12,417.177,4184.78,8
300,58.5317,52,0.12,410.006,4184.78,8
302,58.4129,52,0.12,402.552,4184.78,8
304,58.2897,52,0.12,394.816,4184.78,8
306,58.162,52,0.12,386.8,4184.78,8
308,58.0299,52,0.12,378.505,4184.78,8
310,57.8933,52,0.12,369.932,4184.78,8
312,57.7523,52,0.12,361.083,4184.78,8
314,57.607,52,0.12,351.958,4184.78,8
316,57.4572,52,0.12,342.56,4184.78,8
318,57.3032,52,0.12,332.89,4184.78,8
320,57.1448,52,0.12,322.949,4184.78,8
322,56.9822,52,0.12,312.738,4184.78,8
324,56.8152,52,0.12,302.261,4184.78,8
326,56.6441,52,0.12,291.518,4184.78,8
328,56.4687,52,0.12,280.51,4184.78,8
330,56.2892,52,0.12,269.24,4184.78,8
332,56.1055,52,0.12,257.71,4184.78,8
334,55.9177,52,0.12,245.921,4184.78,8
336,55.7258,52,0.12,233.875,4184.78,8
338,55.5298,52,0.12,221.574,4184.78,8
340,55.3298,52,0.12,209.02,4184.78,8
342,55.1258,52,0.12,196.214,4184.78,8
344,54.9179,52,0.12,183.16,4184.78,8
346,54.706,52,0.12,169.859,4184.78,8
348,54.4902,52,0.12,156.313,4184.78,8
350,54.2705,52,0.12,142.524,4184.78,8
352,54.047,52,0.12,128.494,4184.78,8
354,53.8197,52,0.12,114.226,4184.78,8
356,53.5887,52,0.12,99.7225,4184.78,8
358,53.3539,52,0.12,84.9847,4184.78,8
360,53.1154,52,0.12,70.0154,4184.78,8
362,52.8733,52,0.12,54.817,4184.78,8
364,52.6275,52,0.12,39.3918,4184.78,8
366,52.3782,52,0.12,23.7424,4184.78,8
368,52.1254,52,0.12,7.87116,4184.78,8
