Time	T_F,Entrance	T_F,Exit	T_Nodes	sum(dT_Nodes)
495.54	737.5642222	199.2296111	1287.517556	40.09333333
500.55	737.7198889	199.2296111	1287.891056	39.84427778
505.554	738.5291667	199.2607222	1287.5175	40.59138889
510.57	737.5642222	199.3541111	1290.101222	38.63033333
515.58	737.5642222	199.4786111	1289.509889	39.22166667
520.584	737.0972778	199.4163889	1289.6965	39.1595
525.594	736.288	199.6653889	1290.599278	38.25672222
530.61	735.6965	199.7276667	1290.692722	38.16327778
535.62	736.0388889	199.8832778	1290.817167	38.41238889
540.624	734.0467222	199.8832778	1289.385333	39.34622222
545.634	733.8599444	199.8521667	1289.447556	39.284
550.65	734.2646111	199.7587778	1289.105056	39.75094444
555.654	736.7548889	199.9143889	1289.883278	38.97272222
560.664	735.6031111	200.0077778	1288.762722	40.46683333
565.68	736.5992778	199.9766667	1290.132333	39.22166667
570.69	738.7471111	200.2256667	1291.252944	38.10105556
575.694	738.5914444	200.2568333	1293.182889	36.17111111
580.704	737.7198889	200.2568333	1294.147889	35.33077778
585.72	736.786	200.3502222	1293.93	35.424
590.73	736.1634444	200.3813333	1293.8055	35.67316667
595.746	737.8755	200.5058333	1294.521389	35.45527778
600.75	738.4669444	200.537	1296.077833	34.02327778
605.76	737.6887222	200.5681111	1295.704278	34.39683333
610.776	739.214	200.5681111	1293.867722	36.60694444
615.786	739.4007778	200.6615	1293.494222	36.856
620.79	738.5291667	200.6926111	1294.272333	35.82877778
625.8	736.4436111	200.6926111	1295.455222	34.64588889
630.816	736.288	200.7237222	1295.922111	34.179
635.82	736.288	200.7548889	1297.416278	32.68483333
640.83	737.1906667	200.786	1295.704278	35.0195
645.846	735.6031111	200.8793889	1295.859944	34.9885
650.85	734.4513889	200.7548889	1295.673111	34.67711111
655.89	735.1361667	200.8482778	1295.237333	35.23733333
660.906	738.0933889	200.7548889	1296.575833	33.89883333
665.958	737.5331111	200.7548889	1296.108944	34.36572222
670.494	737.0972778	200.7548889	1297.354056	33.61883333
675.498	736.4436111	200.7548889	1298.038833	33.80561111
680.508	737.9688889	200.7237222	1298.038889	33.55644444
685.554	736.7548889	200.786	1297.852111	33.36966667
690.57	738.1245	200.7237222	1297.914333	33.183
695.676	738.3112778	200.7548889	1298.287889	33.183
700.698	737.6576111	200.7237222	1299.315167	32.28016667
705.702	738.9961111	200.7237222	1298.412444	33.432
