Time[1].y;tan.vol[1].T;tan.vol[2].T;tan.vol[3].T;tan.vol[4].T;tan.vol[5].T;tan.vol[6].T;tan.vol[7].T;tan.vol[8].T;tan.vol[9].T;tan.vol[10].T;tan.vol[11].T;tan.vol[12].T;tan.vol[13].T;tan.vol[14].T;tan.vol[15].T;tan.vol[16].T;tan.vol[17].T;tan.vol[18].T;tan.vol[19].T;tan.vol[20].T;onOffController.y
81.6;332.737;332.781;332.78;332.779;332.77;332.741;332.731;332.712;332.685;332.593;332.306;331.499;329.598;326.039;320.98;320.98;320.98;320.98;320.98;320.98;0
84;332.735;332.778;332.778;332.776;332.761;332.732;332.722;332.702;332.67;332.564;332.239;331.353;329.336;325.677;320.605;320.605;320.605;320.605;320.605;320.605;0
86.4;332.732;332.775;332.775;332.772;332.753;332.724;332.712;332.692;332.654;332.531;332.166;331.199;329.067;325.313;320.236;320.236;320.236;320.236;320.236;320.236;0
88.8;332.729;332.772;332.772;332.767;332.744;332.715;332.702;332.682;332.637;332.496;332.087;331.037;328.792;324.949;319.871;319.871;319.871;319.871;319.871;319.871;0
91.2;332.726;332.767;332.769;332.762;332.736;332.706;332.692;332.671;332.619;332.458;332.003;330.868;328.511;324.585;319.51;319.51;319.51;319.51;319.51;319.51;0
93.6;332.723;332.762;332.766;332.755;332.728;332.697;332.682;332.659;332.599;332.417;331.913;330.691;328.224;324.221;319.154;319.154;319.154;319.154;319.154;319.154;0
96;332.72;332.757;332.762;332.747;332.72;332.687;332.672;332.647;332.577;332.372;331.816;330.507;327.933;323.858;318.803;318.803;318.803;318.803;318.803;318.803;0
98.4;332.717;332.75;332.758;332.738;332.713;332.677;332.661;332.634;332.554;332.323;331.714;330.315;327.636;323.497;318.455;318.455;318.455;318.455;318.455;318.455;0
100.8;332.714;332.744;332.754;332.73;332.704;332.667;332.651;332.62;332.529;332.271;331.605;330.116;327.336;323.136;318.112;318.112;318.112;318.112;318.112;318.112;0
103.2;332.71;332.739;332.748;332.722;332.695;332.658;332.64;332.605;332.502;332.214;331.49;329.911;327.031;322.777;317.772;317.772;317.772;317.772;317.772;317.772;0
105.6;332.707;332.735;332.742;332.713;332.685;332.648;332.629;332.59;332.473;332.154;331.369;329.698;326.723;322.419;317.437;317.437;317.437;317.437;317.437;317.437;0
108;332.703;332.731;332.735;332.704;332.676;332.639;332.618;332.573;332.441;332.089;331.241;329.479;326.412;322.064;317.106;317.106;317.106;317.106;317.106;317.106;0
110.4;332.7;332.727;332.727;332.695;332.666;332.63;332.607;332.556;332.408;332.019;331.107;329.253;326.098;321.711;316.779;316.779;316.779;316.779;316.779;316.779;0
112.8;332.696;332.724;332.717;332.686;332.656;332.621;332.595;332.537;332.371;331.945;330.966;329.021;325.781;321.361;316.456;316.456;316.456;316.456;316.456;316.456;0
