#1
double	Data(21290, 6)
0	292.07	292.087	292.644	0	0
1	292.072	292.082	292.646	0	0
2	292.067	292.074	292.638	0	0
3	292.069	292.085	292.639	0	0.05934715
4	292.066	292.082	292.642	0	0
5	292.066	292.07	292.63	0	0.05934715
6	292.076	292.084	292.646	0	0.05934715
7	292.075	292.073	292.622	0	0
8	292.08	292.073	292.63	0	0
9	292.077	292.085	292.65	0	0
10	292.08	292.089	292.643	0	0
11	292.081	292.069	292.626	0	0
12	292.072	292.077	292.64	0	0
13	292.078	292.088	292.634	0	0
15	292.071	292.082	292.628	0	0
16	292.088	292.08	292.619	0	0
17	292.073	292.072	292.596	0	0
18	292.077	292.076	292.619	0	0
19	292.082	292.09	292.621	0	0
20	292.076	292.074	292.6	0	0
21	292.081	292.079	292.609	0	0
22	292.085	292.095	292.592	0	0
23	292.083	292.091	292.586	0	0
24	292.074	292.081	292.572	0	0
25	292.081	292.075	292.584	0	0
26	292.07	292.072	292.55	0	0.05934715
27	292.077	292.081	292.561	0	0
28	292.087	292.091	292.583	0	0
29	292.074	292.074	292.588	0	0
30	292.082	292.086	292.598	0	0
31	292.076	292.078	292.605	0	0
32	292.071	292.08	292.596	0	0
33	292.071	292.075	292.577	0	0
34	292.079	292.083	292.584	0	0
35	292.08	292.08	292.566	0	0
36	292.082	292.09	292.576	0	0
37	292.092	292.087	292.598	0	0
38	292.075	292.085	292.6	0	0
40	292.081	292.092	292.592	0	0.05934715
41	292.071	292.078	292.577	0	0
42	292.088	292.08	292.603	0	0
43	292.079	292.084	292.603	0	0
44	292.074	292.078	292.592	0	0
45	292.073	292.09	292.582	0	0
46	292.085	292.089	292.592	0.0058371875	0.3678029
47	292.703	292.065	292.59	0.06063625	0.1210383
48	292.831	292.078	292.602	0.100725625	0
49	292.85	292.153	292.599	0.1180046875	0
50	292.823	292.211	292.607	0.1261415625	0.2444206
51	292.602	292.258	292.617	0.1368125	0
52	292.427	292.268	292.626	0.142356875	0.87367033
53	292.352	292.333	292.621	0.145321875	10.07798991
54	292.422	292.368	292.624	0.146943125	14.59378209
55	292.443	292.352	292.634	0.1290503125	6.21612392
56	292.456	292.337	292.636	0.1107065625	2.72440483
57	292.448	292.344	292.641	0.0888590625	1.25615546
58	292.456	292.338	292.647	0.0688465625	1.25615546
59	293.413	292.316	292.642	0.0996328125	0.87367033
60	294.561	292.277	292.615	0.117634375	0
61	296.224	292.283	292.618	0.1313328125	0
62	297.287	292.283	292.587	0.1402546875	0
64	298.012	292.308	292.607	0.1498415625	0
65	298.406	292.308	292.617	0.152896875	0
66	298.152	292.326	292.62	0.156109375	0
67	297.414	292.327	292.623	0.161451875	0
68	296.54	292.325	292.613	0.16146125	0.05934715
69	295.772	292.317	292.608	0.162068125	0
70	295.16	292.33	292.617	0.1658309375	0
71	294.678	292.34	292.62	0.1673628125	0
72	294.294	292.341	292.597	0.1706215625	0
73	293.999	292.368	292.581	0.172629375	0.05934715
74	293.746	292.374	292.6	0.17607125	0
75	293.562	292.381	292.63	0.1733065625	0
76	293.397	292.392	292.627	0.1762721875	0.81197918
77	293.261	292.396	292.635	0.1757703125	0
78	293.146	292.4	292.637	0.17655625	0
