#1
double	Data(14831, 7)
1966	44.342	294.084	292.364	0.1649316502	19158.92719	45.828
1967	44.308	294.099	292.367	0.1588145558	19035.54489	45.827
1968	44.292	294.082	292.344	0.1618469003	19158.92719	45.81
1969	44.322	294.092	292.33	0.1672911454	19282.30949	45.773
1970	44.315	294.102	292.348	0.1589106326	19097.23604	45.771
1971	44.33	294.103	292.358	0.1621906554	19220.61834	45.74
1972	44.322	294.105	292.36	0.161753319	19035.54489	45.781
1973	44.286	294.089	292.335	0.1624358383	19097.23604	45.763
1974	44.265	294.107	292.344	0.1612183462	19035.54489	45.79
1975	44.223	294.105	292.343	0.1594864692	18961.51551	45.833
1976	44.222	294.1	292.334	0.1641062636	18653.05976	45.789
1977	44.261	294.092	292.322	0.1596845495	19220.61834	45.785
1979	44.306	294.08	292.321	0.1598161871	18961.51551	45.787
1980	44.33	294.101	292.332	0.1648817402	18899.82436	45.829
1981	44.337	294.083	292.311	0.1612953948	18899.82436	45.801
1982	44.339	294.086	292.316	0.1622720711	19097.23604	45.806
1983	44.328	294.073	292.321	0.1656444274	20047.27975	45.75
1984	44.278	294.066	292.327	0.1658106901	18961.51551	45.787
1985	44.238	294.059	292.327	0.1634936183	19097.23604	45.749
1986	44.299	294.053	292.34	0.1630288314	19158.92719	45.773
1987	44.304	294.049	292.349	0.1666510497	19220.61834	45.728
1988	44.308	294.051	292.356	0.1635085913	19220.61834	45.767
1989	44.296	294.032	292.337	0.1630428686	19035.54489	45.728
1990	44.248	294.02	292.335	0.1638476674	19220.61834	45.743
1991	44.206	294.018	292.349	0.1645900786	19282.30949	45.705
1992	44.173	294.014	292.339	0.1640566655	19158.92719	45.731
1993	44.199	294.012	292.348	0.1648608404	19282.30949	45.742
1994	44.211	293.996	292.334	0.1672699337	18899.82436	45.745
1995	44.206	294	292.363	0.1604316398	18961.51551	45.796
1996	44.239	293.99	292.357	0.1636155859	19158.92719	45.786
1997	44.175	293.973	292.364	0.1623279079	18961.51551	45.768
1998	44.205	293.972	292.367	0.1620580819	19220.61834	45.79
1999	44.205	293.976	292.367	0.1663578284	19541.41232	45.736
2000	44.187	293.949	292.353	0.1683089975	19282.30949	45.729
2001	44.185	293.948	292.356	0.1663687463	19097.23604	45.716
2003	44.154	293.965	292.361	0.1606290963	19220.61834	45.731
2004	44.195	293.964	292.355	0.1654073549	19035.54489	45.786
2005	44.2	293.963	292.366	0.1632325266	19405.69179	45.755
2006	44.247	293.949	292.373	0.1632677756	19344.00064	45.779
2007	44.287	293.965	292.373	0.1591770272	19035.54489	45.79
2008	44.344	293.966	292.385	0.1612922754	19726.48577	45.774
2009	44.353	293.966	292.402	0.1616382141	19282.30949	45.776
2010	44.382	293.962	292.381	0.1624083878	18961.51551	45.764
2011	44.344	293.968	292.385	0.1624177459	19282.30949	45.793
2012	44.307	293.969	292.38	0.1609085923	19097.23604	45.797
2013	44.271	293.963	292.375	0.1611787301	18591.36861	45.786
2014	44.275	293.976	292.368	0.1650517461	19282.30949	45.806
2015	44.27	293.973	292.361	0.1642057716	19158.92719	45.749
2016	44.266	293.973	292.368	0.1628394854	19097.23604	45.733
2017	44.18	293.984	292.362	0.1623310273	18899.82436	45.794
2018	44.184	293.974	292.352	0.1589043938	19158.92719	45.769
2019	44.158	293.978	292.38	0.1627037926	19097.23604	45.829
2020	44.188	293.977	292.378	0.166340048	19158.92719	45.791
2021	44.242	293.995	292.371	0.1657336415	19097.23604	45.794
2022	44.212	293.99	292.374	0.163200709	19097.23604	45.782
2023	44.27	293.978	292.366	0.160695227	18961.51551	45.767
2024	44.341	293.982	292.373	0.1620003735	18591.36861	45.806
2025	44.329	293.988	292.369	0.1618855805	19097.23604	45.828
2026	44.383	294.002	292.377	0.1618952506	19282.30949	45.827
2028	44.408	293.994	292.368	0.160236055	19541.41232	45.829
2029	44.36	293.994	292.374	0.1618384779	19282.30949	45.812
2030	44.323	293.998	292.375	0.1610904518	19097.23604	45.811
2031	44.351	294.01	292.373	0.162167572	19282.30949	45.808
2032	44.361	294.006	292.373	0.1619392338	19344.00064	45.79
2033	44.334	294.009	292.363	0.1605701401	19220.61834	45.81
2034	44.376	294.028	292.389	0.1627661801	19035.54489	45.806
2035	44.308	294.014	292.373	0.1606322156	18838.13321	45.77
2036	44.291	294.016	292.379	0.1608184423	19220.61834	45.796
2037	44.363	294.017	292.38	0.1628628807	19405.69179	45.793
2038	44.349	294.021	292.38	0.160670272	19220.61834	45.857
2039	44.306	294.029	292.385	0.1621644526	19158.92719	45.818
2040	44.285	294.021	292.392	0.1618522032	19097.23604	45.827
2041	44.308	294.015	292.384	0.1648424361	19097.23604	45.812
2042	44.359	294.017	292.394	0.1601271888	19097.23604	45.827
2043	44.351	294.027	292.386	0.161423913	19282.30949	45.82
2044	44.377	294.024	292.392	0.1651478229	19158.92719	45.818
2045	44.352	294.02	292.383	0.1603967028	19158.92719	45.837
2046	44.406	294.01	292.387	0.1633073916	18393.95693	45.814
2047	45.05	294.03	292.414	0.1517906591	11546.23928	46.915
2048	45.018	294.03	292.413	0.144833829	9572.12248	46.95
2049	44.611	294.036	292.405	0.1352854221	9127.9462	45.347
2050	44.388	294.028	292.388	0.1303343501	8881.1816	45.05
2052	44.317	294.03	292.405	0.1252188871	8942.87275	45.297
2053	44.348	294.03	292.402	0.1172460765	9004.5639	45.477
2054	44.425	294.028	292.396	0.1094470151	8942.87275	45.529
2055	44.425	294.025	292.397	0.1057764466	8745.46107	45.557
2056	44.345	294.021	292.387	0.1053478444	8942.87275	45.588
2057	44.45	294.032	292.414	0.1032385231	8881.1816	45.658
2058	44.564	294.034	292.426	0.0987550454	9004.5639	45.819
2059	44.61	294.041	292.436	0.0981567493	9066.25505	46.019
2060	44.699	294.036	292.436	0.0961026408	8942.87275	46.088
2061	44.789	294.039	292.454	0.0920421504	8942.87275	46.189
2062	44.815	294.006	292.432	0.0919794509	9066.25505	46.194
2063	44.845	294.027	292.451	0.0901093856	8807.15222	46.187
2064	44.88	294.045	292.47	0.0881984565	8745.46107	46.084
2065	44.808	294.025	292.457	0.0861487152	8881.1816	46.006
2066	44.713	294.024	292.463	0.0851452123	8942.87275	45.836
2067	44.692	294.041	292.461	0.0864094949	9127.9462	45.768
2068	44.618	294.022	292.457	0.0839791899	8881.1816	45.708
2069	44.52	294.018	292.46	0.0842496397	9066.25505	45.55
2070	44.518	294.025	292.466	0.0834223814	9387.04903	45.49
2071	44.436	294.026	292.467	0.082765753	9004.5639	45.494
2072	44.326	294.024	292.463	0.0813258495	9066.25505	45.4
2073	44.233	294.015	292.457	0.0828998861	9189.63735	45.287
2074	44.205	294.013	292.448	0.0819101084	9127.9462	45.221
2075	44.128	294.019	292.452	0.080988957	9189.63735	45.156
2077	44.057	294.027	292.466	0.0819681288	9387.04903	45.167
2078	44.044	294.026	292.452	0.0822223579	9387.04903	45.087
2079	43.983	294.018	292.467	0.0828053691	9572.12248	45.081
2080	43.95	294.027	292.459	0.0806748359	9572.12248	45.046
2081	43.933	294.014	292.457	0.0817971871	9510.43133	45
2082	43.96	294.018	292.468	0.0813108765	9633.81363	45.053
2083	43.925	294.001	292.46	0.0807518845	9572.12248	45.045
2084	43.938	293.999	292.454	0.0804243501	9695.50478	45.024
2085	43.959	294.012	292.444	0.0810744279	9633.81363	45.106
2086	43.915	294	292.426	0.0797287295	9633.81363	45.161
2087	43.932	293.991	292.418	0.0804686453	9695.50478	45.214
2088	44.01	294.005	292.432	0.0807905648	9695.50478	45.201
2089	44.029	293.998	292.43	0.0777731933	9633.81363	45.26
2090	44.084	294.004	292.426	0.0797864379	9572.12248	45.338
2091	44.064	294.002	292.428	0.0792814111	9633.81363	45.372
2092	44.122	293.991	292.422	0.0777953409	9633.81363	45.443
2093	44.14	294.005	292.413	0.0803666417	9633.81363	45.516
2094	44.188	293.992	292.412	0.077719852	9448.74018	45.531
2095	44.252	294.006	292.425	0.0789794556	9695.50478	45.573
2096	44.236	293.995	292.425	0.078288826	9510.43133	45.653
2097	44.299	294.006	292.427	0.0781893179	9695.50478	45.678
2098	44.357	293.988	292.413	0.077375473	9572.12248	45.673
2099	44.464	294.004	292.422	0.0777922215	9510.43133	45.78
2101	44.501	293.995	292.421	0.0763151974	9572.12248	45.736
2102	44.493	293.993	292.419	0.0783618194	9510.43133	45.772
2103	44.424	293.996	292.416	0.0763987967	9004.5639	45.798
2104	44.423	294.001	292.404	0.0794807392	9189.63735	45.821
2105	44.428	293.993	292.386	0.0787395757	9510.43133	45.755
